BE/eV	PE: 20.0 eV
695.0	6063.0
694.9	6011.0
694.8	6010.0
694.7	6122.0
694.6	6267.0
694.5	6215.0
694.4	6109.0
694.3	6079.0
694.2	6117.0
694.1	6114.0
694.0	6139.0
693.9	6136.0
693.8	6106.0
693.7	6033.0
693.6	5946.0
693.5	6092.0
693.4	6114.0
693.3	6075.0
693.2	6184.0
693.1	6248.0
693.0	6127.0
692.9	5984.0
692.8	6100.0
692.7	6079.0
692.6	6017.0
692.5	6005.0
692.4	6234.0
692.3	6121.0
692.2	6171.0
692.1	6068.0
692.0	6076.0
691.9	6106.0
691.8	6080.0
691.7	6093.0
691.6	6055.0
691.5	6134.0
691.4	6101.0
691.3	6173.0
691.2	6150.0
691.1	6274.0
691.0	6115.0
690.9	6155.0
690.8	5985.0
690.7	6060.0
690.6	6088.0
690.5	6124.0
690.4	6188.0
690.3	6185.0
690.2	6067.0
690.1	6117.0
690.0	6222.0
689.9	6150.0
689.8	6002.0
689.7	6189.0
689.6	6207.0
689.5	6076.0
689.4	6128.0
689.3	6156.0
689.2	6127.0
689.1	6153.0
689.0	6107.0
688.9	6115.0
688.8	6203.0
688.7	6123.0
688.6	6087.0
688.5	6145.0
688.4	6117.0
688.3	6061.0
688.2	6188.0
688.1	6166.0
688.0	6154.0
687.9	6140.0
687.8	6069.0
687.7	6115.0
687.6	6147.0
687.5	6146.0
687.4	6119.0
687.3	6119.0
687.2	6099.0
687.1	6133.0
687.0	6055.0
686.9	6164.0
686.8	6060.0
686.7	6149.0
686.6	6080.0
686.5	6082.0
686.4	6157.0
686.3	6075.0
686.2	6134.0
686.1	6164.0
686.0	6110.0
685.9	6102.0
685.8	6066.0
685.7	6161.0
685.6	6128.0
685.5	6129.0
685.4	6090.0
685.3	6032.0
685.2	6079.0
685.1	6119.0
685.0	6203.0
684.9	6152.0
684.8	6104.0
684.7	6163.0
684.6	6184.0
684.5	6089.0
684.4	6155.0
684.3	6224.0
684.2	6285.0
684.1	6110.0
684.0	6094.0
683.9	6086.0
683.8	6115.0
683.7	6116.0
683.6	6095.0
683.5	6131.0
683.4	6048.0
683.3	6146.0
683.2	6147.0
683.1	6096.0
683.0	6101.0
682.9	6057.0
682.8	6071.0
682.7	6125.0
682.6	6096.0
682.5	6217.0
682.4	6167.0
682.3	6132.0
682.2	6003.0
682.1	6158.0
682.0	6190.0
681.9	6184.0
681.8	6091.0
681.7	6168.0
681.6	6190.0
681.5	6103.0
681.4	6118.0
681.3	6053.0
681.2	6088.0
681.1	6132.0
681.0	6117.0
680.9	6197.0
680.8	6173.0
680.7	6130.0
680.6	6128.0
680.5	6220.0
680.4	6117.0
680.3	6180.0
680.2	6241.0
680.1	6003.0
680.0	5994.0
679.9	6233.0
679.8	6119.0
679.7	6111.0
679.6	6197.0
679.5	6154.0
679.4	6187.0
679.3	6093.0
679.2	6169.0
679.1	6217.0
679.0	6159.0
678.9	6160.0
678.8	6057.0
678.7	6124.0
678.6	6128.0
678.5	6109.0
678.4	6180.0
678.3	6167.0
678.2	6179.0
678.1	6189.0
678.0	6135.0
677.9	6006.0
677.8	6024.0
677.7	6117.0
677.6	6220.0
677.5	6275.0
677.4	6246.0
677.3	6185.0
677.2	6160.0
677.1	6170.0
677.0	6064.0
676.9	6157.0
676.8	6114.0
676.7	6143.0
676.6	6111.0
676.5	6142.0
676.4	6188.0
676.3	6181.0
676.2	6033.0
676.1	6106.0
676.0	6140.0
675.9	6273.0
675.8	6090.0
675.7	6064.0
675.6	6098.0
675.5	6085.0
675.4	6123.0
675.3	6097.0
675.2	6202.0
675.1	6191.0
675.0	6133.0
