BE/eV	PE: 20.0 eV
540.0	8623.0
539.9	8536.0
539.8	8526.0
539.7	8373.0
539.6	8498.0
539.5	8537.0
539.4	8553.0
539.3	8592.0
539.2	8625.0
539.1	8687.0
539.0	8556.0
538.9	8558.0
538.8	8634.0
538.7	8548.0
538.6	8608.0
538.5	8644.0
538.4	8675.0
538.3	8429.0
538.2	8791.0
538.1	8676.0
538.0	8721.0
537.9	8678.0
537.8	8704.0
537.7	8706.0
537.6	8671.0
537.5	8699.0
537.4	8740.0
537.3	8724.0
537.2	8666.0
537.1	8773.0
537.0	8747.0
536.9	8691.0
536.8	8651.0
536.7	8600.0
536.6	8661.0
536.5	8719.0
536.4	8685.0
536.3	8703.0
536.2	8770.0
536.1	8852.0
536.0	8763.0
535.9	8772.0
535.8	8664.0
535.7	8744.0
535.6	8884.0
535.5	8955.0
535.4	8892.0
535.3	8882.0
535.2	8877.0
535.1	8906.0
535.0	9002.0
534.9	8950.0
534.8	8856.0
534.7	8875.0
534.6	9079.0
534.5	9154.0
534.4	9024.0
534.3	9179.0
534.2	9175.0
534.1	9291.0
534.0	9491.0
533.9	9536.0
533.8	9514.0
533.7	9640.0
533.6	9710.0
533.5	9973.0
533.4	10154.0
533.3	10474.0
533.2	10628.0
533.1	10770.0
533.0	11040.0
532.9	11256.0
532.8	11412.0
532.7	11513.0
532.6	11697.0
532.5	11919.0
532.4	11827.0
532.3	11754.0
532.2	11656.0
532.1	11742.0
532.0	11801.0
531.9	11684.0
531.8	11627.0
531.7	11603.0
531.6	11645.0
531.5	11496.0
531.4	11509.0
531.3	11366.0
531.2	11067.0
531.1	10923.0
531.0	10934.0
530.9	10914.0
530.8	10763.0
530.7	10862.0
530.6	10686.0
530.5	10606.0
530.4	10502.0
530.3	10278.0
530.2	10248.0
530.1	9879.0
530.0	9973.0
529.9	9720.0
529.8	9484.0
529.7	9401.0
529.6	9152.0
529.5	8911.0
529.4	8883.0
529.3	8811.0
529.2	8601.0
529.1	8655.0
529.0	8626.0
528.9	8378.0
528.8	8435.0
528.7	8512.0
528.6	8498.0
528.5	8389.0
528.4	8403.0
528.3	8385.0
528.2	8318.0
528.1	8264.0
528.0	8396.0
527.9	8306.0
527.8	8207.0
527.7	8318.0
527.6	8403.0
527.5	8293.0
527.4	8353.0
527.3	8287.0
527.2	8290.0
527.1	8289.0
527.0	8248.0
526.9	8377.0
526.8	8313.0
526.7	8315.0
526.6	8261.0
526.5	8129.0
526.4	8214.0
526.3	8268.0
526.2	8318.0
526.1	8309.0
526.0	8320.0
525.9	8360.0
525.8	8187.0
525.7	8190.0
525.6	8181.0
525.5	8225.0
525.4	8236.0
525.3	8333.0
525.2	8242.0
525.1	8322.0
525.0	8408.0
