BE/eV	PE: 20.0 eV
579.0	8479.0
578.9	8539.0
578.8	8583.0
578.7	8573.0
578.6	8651.0
578.5	8698.0
578.4	8497.0
578.3	8549.0
578.2	8538.0
578.1	8425.0
578.0	8476.0
577.9	8506.0
577.8	8524.0
577.7	8427.0
577.6	8438.0
577.5	8555.0
577.4	8456.0
577.3	8456.0
577.2	8481.0
577.1	8454.0
577.0	8523.0
576.9	8606.0
576.8	8460.0
576.7	8457.0
576.6	8537.0
576.5	8612.0
576.4	8468.0
576.3	8447.0
576.2	8450.0
576.1	8473.0
576.0	8534.0
575.9	8471.0
575.8	8580.0
575.7	8436.0
575.6	8463.0
575.5	8533.0
575.4	8552.0
575.3	8508.0
575.2	8498.0
575.1	8591.0
575.0	8517.0
574.9	8410.0
574.8	8560.0
574.7	8447.0
574.6	8511.0
574.5	8481.0
574.4	8423.0
574.3	8525.0
574.2	8541.0
574.1	8245.0
574.0	8459.0
573.9	8478.0
573.8	8574.0
573.7	8500.0
573.6	8526.0
573.5	8607.0
573.4	8472.0
573.3	8557.0
573.2	8687.0
573.1	8520.0
573.0	8608.0
572.9	8566.0
572.8	8529.0
572.7	8561.0
572.6	8544.0
572.5	8597.0
572.4	8456.0
572.3	8466.0
572.2	8512.0
572.1	8558.0
572.0	8656.0
571.9	8496.0
571.8	8492.0
571.7	8534.0
571.6	8622.0
571.5	8483.0
571.4	8457.0
571.3	8472.0
571.2	8633.0
571.1	8506.0
571.0	8630.0
570.9	8568.0
570.8	8522.0
570.7	8536.0
570.6	8471.0
570.5	8461.0
570.4	8496.0
570.3	8555.0
570.2	8600.0
570.1	8487.0
570.0	8521.0
569.9	8583.0
569.8	8579.0
569.7	8593.0
569.6	8526.0
569.5	8625.0
569.4	8670.0
569.3	8539.0
569.2	8567.0
569.1	8505.0
569.0	8414.0
568.9	8493.0
568.8	8521.0
568.7	8577.0
568.6	8475.0
568.5	8537.0
568.4	8541.0
568.3	8574.0
568.2	8703.0
568.1	8428.0
568.0	8540.0
567.9	8497.0
567.8	8566.0
567.7	8687.0
567.6	8362.0
567.5	8383.0
567.4	8470.0
567.3	8528.0
567.2	8488.0
567.1	8516.0
567.0	8458.0
566.9	8466.0
566.8	8597.0
566.7	8604.0
566.6	8519.0
566.5	8439.0
566.4	8551.0
566.3	8567.0
566.2	8638.0
566.1	8573.0
566.0	8477.0
565.9	8438.0
565.8	8554.0
565.7	8442.0
565.6	8563.0
565.5	8718.0
565.4	8651.0
565.3	8593.0
565.2	8563.0
565.1	8469.0
565.0	8408.0
564.9	8512.0
564.8	8484.0
564.7	8465.0
564.6	8568.0
564.5	8541.0
564.4	8651.0
564.3	8617.0
564.2	8447.0
564.1	8417.0
564.0	8700.0
563.9	8666.0
563.8	8547.0
563.7	8632.0
563.6	8651.0
563.5	8584.0
563.4	8651.0
563.3	8589.0
563.2	8526.0
563.1	8581.0
563.0	8565.0
562.9	8470.0
562.8	8478.0
562.7	8564.0
562.6	8564.0
562.5	8584.0
562.4	8703.0
562.3	8578.0
562.2	8464.0
562.1	8762.0
562.0	8546.0
561.9	8515.0
561.8	8614.0
561.7	8700.0
561.6	8612.0
561.5	8584.0
561.4	8561.0
561.3	8720.0
561.2	8818.0
561.1	8763.0
561.0	8741.0
560.9	8575.0
560.8	8591.0
560.7	8613.0
560.6	8690.0
560.5	8691.0
560.4	8692.0
560.3	8663.0
560.2	8636.0
560.1	8563.0
560.0	8587.0
559.9	8718.0
559.8	8784.0
559.7	8613.0
559.6	8580.0
559.5	8508.0
559.4	8685.0
559.3	8720.0
559.2	8755.0
559.1	8806.0
559.0	8607.0
558.9	8695.0
558.8	8654.0
558.7	8630.0
558.6	8614.0
558.5	8585.0
558.4	8597.0
558.3	8636.0
558.2	8719.0
558.1	8608.0
558.0	8682.0
557.9	8655.0
557.8	8491.0
557.7	8660.0
557.6	8697.0
557.5	8704.0
557.4	8611.0
557.3	8640.0
557.2	8650.0
557.1	8724.0
557.0	8684.0
556.9	8620.0
556.8	8555.0
556.7	8508.0
556.6	8568.0
556.5	8643.0
556.4	8688.0
556.3	8581.0
556.2	8564.0
556.1	8683.0
556.0	8696.0
555.9	8700.0
555.8	8617.0
555.7	8633.0
555.6	8544.0
555.5	8636.0
555.4	8706.0
555.3	8700.0
555.2	8815.0
555.1	8599.0
555.0	8583.0
554.9	8751.0
554.8	8706.0
554.7	8575.0
554.6	8616.0
554.5	8600.0
554.4	8528.0
554.3	8617.0
554.2	8603.0
554.1	8728.0
554.0	8671.0
553.9	8618.0
553.8	8539.0
553.7	8637.0
553.6	8638.0
553.5	8526.0
553.4	8598.0
553.3	8492.0
553.2	8556.0
553.1	8701.0
553.0	8745.0
552.9	8661.0
552.8	8579.0
552.7	8608.0
552.6	8529.0
552.5	8556.0
552.4	8500.0
552.3	8680.0
552.2	8747.0
552.1	8774.0
552.0	8592.0
551.9	8596.0
551.8	8520.0
551.7	8561.0
551.6	8601.0
551.5	8609.0
551.4	8694.0
551.3	8609.0
551.2	8602.0
551.1	8614.0
551.0	8665.0
550.9	8676.0
550.8	8650.0
550.7	8640.0
550.6	8565.0
550.5	8478.0
550.4	8600.0
550.3	8611.0
550.2	8521.0
550.1	8510.0
550.0	8435.0
549.9	8567.0
549.8	8560.0
549.7	8652.0
549.6	8520.0
549.5	8521.0
549.4	8539.0
549.3	8754.0
549.2	8661.0
549.1	8450.0
549.0	8593.0
