BE/eV	PE: 160.0 eV
1200.0	22946.0
1199.0	23092.0
1198.0	22746.0
1197.0	22631.0
1196.0	23028.0
1195.0	23059.0
1194.0	22881.0
1193.0	22804.0
1192.0	22980.0
1191.0	23116.0
1190.0	23163.0
1189.0	22932.0
1188.0	22924.0
1187.0	23238.0
1186.0	23198.0
1185.0	23146.0
1184.0	23184.0
1183.0	23118.0
1182.0	23275.0
1181.0	23227.0
1180.0	23014.0
1179.0	23309.0
1178.0	23343.0
1177.0	23116.0
1176.0	23576.0
1175.0	23459.0
1174.0	23516.0
1173.0	23444.0
1172.0	23630.0
1171.0	23638.0
1170.0	23669.0
1169.0	23406.0
1168.0	23656.0
1167.0	23759.0
1166.0	23675.0
1165.0	23638.0
1164.0	23922.0
1163.0	23948.0
1162.0	24007.0
1161.0	23754.0
1160.0	23732.0
1159.0	23872.0
1158.0	23969.0
1157.0	24072.0
1156.0	23989.0
1155.0	24007.0
1154.0	23934.0
1153.0	23920.0
1152.0	23745.0
1151.0	23841.0
1150.0	23898.0
1149.0	23903.0
1148.0	23730.0
1147.0	24042.0
1146.0	24024.0
1145.0	24064.0
1144.0	24096.0
1143.0	24433.0
1142.0	24134.0
1141.0	24181.0
1140.0	24161.0
1139.0	24123.0
1138.0	24086.0
1137.0	24403.0
1136.0	24136.0
1135.0	24351.0
1134.0	24290.0
1133.0	24216.0
1132.0	24573.0
1131.0	24867.0
1130.0	24642.0
1129.0	24590.0
1128.0	24377.0
1127.0	24600.0
1126.0	24580.0
1125.0	24408.0
1124.0	24661.0
1123.0	24737.0
1122.0	24845.0
1121.0	24813.0
1120.0	25048.0
1119.0	24894.0
1118.0	25054.0
1117.0	24990.0
1116.0	25053.0
1115.0	24838.0
1114.0	24969.0
1113.0	24895.0
1112.0	25072.0
1111.0	25330.0
1110.0	25425.0
1109.0	25215.0
1108.0	25290.0
1107.0	25405.0
1106.0	25377.0
1105.0	25589.0
1104.0	25264.0
1103.0	25312.0
1102.0	25423.0
1101.0	25526.0
1100.0	25432.0
1099.0	25682.0
1098.0	25591.0
1097.0	25544.0
1096.0	25853.0
1095.0	25703.0
1094.0	25757.0
1093.0	25768.0
1092.0	25754.0
1091.0	25795.0
1090.0	25700.0
1089.0	25654.0
1088.0	25663.0
1087.0	25829.0
1086.0	25913.0
1085.0	25896.0
1084.0	25969.0
1083.0	25957.0
1082.0	25974.0
1081.0	26219.0
1080.0	26299.0
1079.0	26206.0
1078.0	26190.0
1077.0	26237.0
1076.0	26356.0
1075.0	26191.0
1074.0	26258.0
1073.0	26414.0
1072.0	26561.0
1071.0	26656.0
1070.0	26625.0
1069.0	26576.0
1068.0	26523.0
1067.0	26853.0
1066.0	26874.0
1065.0	27048.0
1064.0	26817.0
1063.0	26900.0
1062.0	26772.0
1061.0	26859.0
1060.0	26817.0
1059.0	26723.0
1058.0	26992.0
1057.0	26825.0
1056.0	26977.0
1055.0	27042.0
1054.0	27300.0
1053.0	27195.0
1052.0	27441.0
1051.0	27291.0
1050.0	27330.0
1049.0	27390.0
1048.0	27404.0
1047.0	27623.0
1046.0	27412.0
1045.0	27273.0
1044.0	27389.0
1043.0	27146.0
1042.0	27312.0
1041.0	27355.0
1040.0	27632.0
1039.0	27666.0
1038.0	27819.0
1037.0	27839.0
1036.0	27731.0
1035.0	27805.0
1034.0	28014.0
1033.0	28160.0
1032.0	28051.0
1031.0	28079.0
1030.0	28299.0
1029.0	28321.0
1028.0	28052.0
1027.0	27959.0
1026.0	28200.0
1025.0	28216.0
1024.0	28264.0
1023.0	28477.0
1022.0	28624.0
1021.0	28528.0
1020.0	28801.0
1019.0	28988.0
1018.0	29026.0
1017.0	29077.0
1016.0	28817.0
1015.0	28796.0
1014.0	28969.0
1013.0	29032.0
1012.0	29111.0
1011.0	29210.0
1010.0	29299.0
1009.0	29385.0
1008.0	29536.0
1007.0	29632.0
1006.0	29734.0
1005.0	29626.0
1004.0	29631.0
1003.0	30010.0
1002.0	30019.0
1001.0	30348.0
1000.0	30759.0
999.0	30668.0
998.0	30787.0
997.0	30882.0
996.0	31101.0
995.0	30632.0
994.0	30655.0
993.0	30587.0
992.0	30373.0
991.0	30492.0
990.0	30421.0
989.0	30273.0
988.0	30406.0
987.0	30307.0
986.0	30729.0
985.0	30712.0
984.0	30747.0
983.0	31048.0
982.0	31342.0
981.0	31606.0
980.0	31995.0
979.0	32744.0
978.0	33297.0
977.0	33217.0
976.0	33828.0
975.0	33755.0
974.0	33332.0
973.0	33643.0
972.0	33433.0
971.0	33031.0
970.0	32417.0
969.0	31926.0
968.0	31461.0
967.0	30841.0
966.0	30408.0
965.0	29937.0
964.0	29041.0
963.0	28819.0
962.0	28911.0
961.0	28873.0
960.0	28712.0
959.0	28596.0
958.0	28602.0
957.0	28932.0
956.0	28588.0
955.0	28625.0
954.0	28674.0
953.0	28527.0
952.0	28458.0
951.0	28660.0
950.0	28843.0
949.0	28992.0
948.0	28863.0
947.0	28660.0
946.0	28553.0
945.0	28711.0
944.0	28891.0
943.0	28657.0
942.0	28813.0
941.0	28928.0
940.0	29046.0
939.0	28948.0
938.0	28932.0
937.0	28686.0
936.0	29076.0
935.0	29168.0
934.0	28813.0
933.0	28937.0
932.0	29202.0
931.0	29140.0
930.0	29107.0
929.0	29094.0
928.0	29098.0
927.0	29145.0
926.0	29269.0
925.0	29141.0
924.0	29399.0
923.0	29165.0
922.0	29180.0
921.0	29337.0
920.0	29126.0
919.0	29454.0
918.0	29669.0
917.0	29646.0
916.0	29361.0
915.0	29384.0
914.0	29271.0
913.0	29564.0
912.0	29558.0
911.0	29678.0
910.0	29779.0
909.0	29826.0
908.0	29488.0
907.0	29619.0
906.0	29613.0
905.0	29900.0
904.0	29658.0
903.0	29755.0
902.0	29889.0
901.0	29852.0
900.0	29947.0
899.0	29972.0
898.0	29796.0
897.0	29929.0
896.0	29884.0
895.0	29898.0
894.0	30196.0
893.0	30140.0
892.0	30103.0
891.0	30148.0
890.0	30198.0
889.0	30121.0
888.0	30056.0
887.0	30144.0
886.0	30189.0
885.0	30283.0
884.0	30310.0
883.0	30414.0
882.0	30363.0
881.0	30269.0
880.0	30289.0
879.0	30059.0
878.0	30069.0
877.0	30392.0
876.0	30368.0
875.0	30195.0
874.0	30606.0
873.0	30604.0
872.0	30382.0
871.0	30608.0
870.0	30744.0
869.0	30479.0
868.0	30468.0
867.0	30555.0
866.0	30474.0
865.0	30810.0
864.0	30827.0
863.0	30508.0
862.0	30611.0
861.0	30697.0
860.0	30842.0
859.0	30939.0
858.0	30732.0
857.0	30727.0
856.0	31005.0
855.0	30776.0
854.0	31017.0
853.0	30884.0
852.0	31140.0
851.0	31353.0
850.0	31069.0
849.0	31189.0
848.0	30672.0
847.0	30863.0
846.0	31188.0
845.0	31222.0
844.0	31144.0
843.0	31250.0
842.0	31139.0
841.0	31301.0
840.0	31332.0
839.0	31193.0
838.0	31059.0
837.0	31167.0
836.0	31224.0
835.0	31577.0
834.0	31559.0
