BE/eV	PE: 20.0 eV
695.0	9624.0
694.9	9714.0
694.8	9744.0
694.7	9714.0
694.6	9772.0
694.5	9824.0
694.4	9774.0
694.3	9802.0
694.2	9814.0
694.1	9720.0
694.0	9724.0
693.9	9859.0
693.8	9855.0
693.7	9636.0
693.6	9860.0
693.5	9707.0
693.4	9697.0
693.3	9738.0
693.2	9704.0
693.1	9762.0
693.0	9771.0
692.9	9635.0
692.8	9726.0
692.7	9885.0
692.6	9747.0
692.5	9728.0
692.4	9700.0
692.3	9628.0
692.2	9681.0
692.1	9950.0
692.0	9670.0
691.9	9916.0
691.8	9822.0
691.7	9686.0
691.6	9697.0
691.5	9811.0
691.4	9774.0
691.3	9820.0
691.2	9870.0
691.1	9684.0
691.0	9731.0
690.9	9800.0
690.8	9757.0
690.7	9627.0
690.6	9810.0
690.5	9846.0
690.4	9850.0
690.3	9783.0
690.2	9825.0
690.1	9799.0
690.0	9796.0
689.9	9863.0
689.8	9844.0
689.7	9872.0
689.6	9803.0
689.5	9785.0
689.4	9917.0
689.3	9874.0
689.2	9896.0
689.1	9900.0
689.0	9871.0
688.9	9889.0
688.8	9873.0
688.7	9833.0
688.6	9660.0
688.5	9831.0
688.4	9854.0
688.3	9767.0
688.2	9783.0
688.1	9840.0
688.0	9955.0
687.9	9773.0
687.8	9881.0
687.7	10022.0
687.6	9976.0
687.5	9903.0
687.4	10007.0
687.3	9984.0
687.2	9975.0
687.1	9923.0
687.0	10058.0
686.9	10183.0
686.8	10302.0
686.7	10198.0
686.6	10136.0
686.5	10264.0
686.4	10370.0
686.3	10506.0
686.2	10507.0
686.1	10576.0
686.0	10741.0
685.9	10710.0
685.8	10879.0
685.7	11059.0
685.6	11221.0
685.5	11132.0
685.4	11453.0
685.3	11750.0
685.2	11960.0
685.1	12449.0
685.0	12937.0
684.9	13706.0
684.8	14641.0
684.7	15307.0
684.6	15986.0
684.5	16127.0
684.4	16329.0
684.3	16364.0
684.2	15961.0
684.1	15338.0
684.0	14649.0
683.9	13816.0
683.8	12825.0
683.7	12179.0
683.6	11696.0
683.5	11114.0
683.4	10713.0
683.3	10507.0
683.2	10506.0
683.1	10291.0
683.0	10105.0
682.9	9945.0
682.8	9826.0
682.7	9897.0
682.6	9795.0
682.5	9725.0
682.4	9728.0
682.3	9701.0
682.2	9706.0
682.1	9607.0
682.0	9623.0
681.9	9474.0
681.8	9570.0
681.7	9728.0
681.6	9612.0
681.5	9615.0
681.4	9649.0
681.3	9800.0
681.2	9806.0
681.1	9760.0
681.0	9751.0
680.9	9645.0
680.8	9677.0
680.7	9735.0
680.6	9665.0
680.5	9723.0
680.4	9698.0
680.3	9814.0
680.2	9761.0
680.1	9643.0
680.0	9675.0
679.9	9388.0
679.8	9590.0
679.7	9648.0
679.6	9726.0
679.5	9553.0
679.4	9540.0
679.3	9686.0
679.2	9564.0
679.1	9735.0
679.0	9696.0
678.9	9647.0
678.8	9597.0
678.7	9649.0
678.6	9790.0
678.5	9644.0
678.4	9685.0
678.3	9680.0
678.2	9622.0
678.1	9647.0
678.0	9735.0
677.9	9611.0
677.8	9625.0
677.7	9721.0
677.6	9632.0
677.5	9636.0
677.4	9678.0
677.3	9631.0
677.2	9534.0
677.1	9690.0
677.0	9597.0
676.9	9660.0
676.8	9857.0
676.7	9702.0
676.6	9696.0
676.5	9715.0
676.4	9727.0
676.3	9486.0
676.2	9576.0
676.1	9627.0
676.0	9468.0
675.9	9543.0
675.8	9615.0
675.7	9771.0
675.6	9649.0
675.5	9742.0
675.4	9614.0
675.3	9652.0
675.2	9659.0
675.1	9739.0
675.0	9735.0
