BE/eV	PE: 20.0 eV
540.0	12775.0
539.9	12864.0
539.8	12678.0
539.7	12686.0
539.6	12719.0
539.5	12555.0
539.4	12461.0
539.3	12686.0
539.2	12554.0
539.1	12584.0
539.0	12757.0
538.9	12770.0
538.8	12737.0
538.7	12651.0
538.6	12741.0
538.5	12697.0
538.4	12615.0
538.3	12540.0
538.2	12659.0
538.1	12653.0
538.0	12656.0
537.9	12506.0
537.8	12543.0
537.7	12768.0
537.6	12517.0
537.5	12626.0
537.4	12626.0
537.3	12589.0
537.2	12709.0
537.1	12813.0
537.0	12799.0
536.9	12686.0
536.8	12669.0
536.7	12732.0
536.6	12781.0
536.5	12581.0
536.4	12560.0
536.3	12648.0
536.2	12746.0
536.1	12694.0
536.0	12698.0
535.9	12669.0
535.8	12850.0
535.7	12852.0
535.6	12761.0
535.5	12818.0
535.4	12913.0
535.3	12745.0
535.2	12772.0
535.1	13004.0
535.0	12978.0
534.9	12798.0
534.8	12919.0
534.7	12812.0
534.6	12989.0
534.5	13044.0
534.4	13021.0
534.3	12998.0
534.2	12980.0
534.1	13163.0
534.0	13414.0
533.9	13467.0
533.8	13520.0
533.7	13823.0
533.6	13790.0
533.5	13990.0
533.4	14225.0
533.3	14315.0
533.2	14724.0
533.1	14930.0
533.0	15124.0
532.9	15254.0
532.8	15832.0
532.7	16146.0
532.6	16083.0
532.5	16305.0
532.4	16639.0
532.3	17003.0
532.2	17061.0
532.1	17293.0
532.0	17399.0
531.9	17609.0
531.8	17803.0
531.7	17880.0
531.6	18068.0
531.5	17932.0
531.4	18114.0
531.3	18258.0
531.2	18521.0
531.1	18347.0
531.0	18475.0
530.9	18787.0
530.8	19127.0
530.7	19346.0
530.6	19626.0
530.5	19928.0
530.4	20347.0
530.3	20587.0
530.2	20732.0
530.1	20866.0
530.0	20488.0
529.9	20335.0
529.8	20052.0
529.7	19570.0
529.6	19368.0
529.5	19031.0
529.4	18968.0
529.3	19069.0
529.2	18941.0
529.1	18970.0
529.0	18596.0
528.9	17709.0
528.8	16762.0
528.7	15457.0
528.6	14533.0
528.5	13792.0
528.4	13236.0
528.3	12888.0
528.2	12514.0
528.1	12359.0
528.0	12191.0
527.9	12112.0
527.8	12205.0
527.7	12168.0
527.6	12306.0
527.5	12253.0
527.4	12031.0
527.3	12021.0
527.2	11985.0
527.1	12026.0
527.0	12001.0
526.9	11985.0
526.8	11804.0
526.7	12055.0
526.6	11993.0
526.5	12010.0
526.4	11917.0
526.3	11903.0
526.2	11855.0
526.1	11961.0
526.0	11849.0
525.9	11837.0
525.8	11852.0
525.7	11815.0
525.6	11838.0
525.5	11852.0
525.4	11909.0
525.3	11908.0
525.2	11909.0
525.1	11841.0
525.0	11903.0
