BE/eV	PE: 160.0 eV
1200.0	55185.0
1199.0	55063.0
1198.0	55182.0
1197.0	55186.0
1196.0	55484.0
1195.0	55123.0
1194.0	54944.0
1193.0	55441.0
1192.0	56002.0
1191.0	55734.0
1190.0	55981.0
1189.0	55913.0
1188.0	56250.0
1187.0	56327.0
1186.0	56280.0
1185.0	56594.0
1184.0	56877.0
1183.0	56442.0
1182.0	56841.0
1181.0	57456.0
1180.0	57237.0
1179.0	57499.0
1178.0	57894.0
1177.0	58221.0
1176.0	57953.0
1175.0	58398.0
1174.0	58601.0
1173.0	58101.0
1172.0	57991.0
1171.0	58428.0
1170.0	58767.0
1169.0	58915.0
1168.0	58469.0
1167.0	58732.0
1166.0	59133.0
1165.0	59451.0
1164.0	59975.0
1163.0	60100.0
1162.0	60450.0
1161.0	60374.0
1160.0	60315.0
1159.0	60603.0
1158.0	61156.0
1157.0	61473.0
1156.0	61860.0
1155.0	61605.0
1154.0	62164.0
1153.0	62234.0
1152.0	61910.0
1151.0	61559.0
1150.0	62331.0
1149.0	62243.0
1148.0	62304.0
1147.0	62310.0
1146.0	62510.0
1145.0	62163.0
1144.0	62161.0
1143.0	62306.0
1142.0	62739.0
1141.0	62860.0
1140.0	62767.0
1139.0	62689.0
1138.0	63140.0
1137.0	63893.0
1136.0	64367.0
1135.0	65243.0
1134.0	65687.0
1133.0	66028.0
1132.0	66384.0
1131.0	66309.0
1130.0	66303.0
1129.0	66196.0
1128.0	65529.0
1127.0	66061.0
1126.0	66677.0
1125.0	66875.0
1124.0	67143.0
1123.0	66947.0
1122.0	67612.0
1121.0	67028.0
1120.0	66394.0
1119.0	65579.0
1118.0	65498.0
1117.0	65523.0
1116.0	65623.0
1115.0	66378.0
1114.0	67067.0
1113.0	67234.0
1112.0	68184.0
1111.0	69074.0
1110.0	69760.0
1109.0	70546.0
1108.0	71326.0
1107.0	73005.0
1106.0	74473.0
1105.0	75773.0
1104.0	77278.0
1103.0	76871.0
1102.0	75131.0
1101.0	73553.0
1100.0	72015.0
1099.0	71248.0
1098.0	68870.0
1097.0	64487.0
1096.0	60472.0
1095.0	57446.0
1094.0	55962.0
1093.0	54830.0
1092.0	54037.0
1091.0	53088.0
1090.0	52665.0
1089.0	52303.0
1088.0	51837.0
1087.0	51896.0
1086.0	51525.0
1085.0	51148.0
1084.0	51231.0
1083.0	50968.0
1082.0	51347.0
1081.0	51740.0
1080.0	51506.0
1079.0	51989.0
1078.0	52159.0
1077.0	52784.0
1076.0	53244.0
1075.0	53699.0
1074.0	54587.0
1073.0	55113.0
1072.0	56124.0
1071.0	57680.0
1070.0	58947.0
1069.0	59459.0
1068.0	59236.0
1067.0	58419.0
1066.0	57009.0
1065.0	54874.0
1064.0	52094.0
1063.0	49671.0
1062.0	48787.0
1061.0	47804.0
1060.0	47491.0
1059.0	47121.0
1058.0	47122.0
1057.0	46979.0
1056.0	46630.0
1055.0	46942.0
1054.0	47167.0
1053.0	46780.0
1052.0	46859.0
1051.0	46829.0
1050.0	46884.0
1049.0	46947.0
1048.0	47361.0
1047.0	47535.0
1046.0	47293.0
1045.0	47499.0
1044.0	47593.0
1043.0	47821.0
