BE/eV	PE: 20.0 eV
695.0	12792.0
694.9	12734.0
694.8	12816.0
694.7	12752.0
694.6	12822.0
694.5	12802.0
694.4	12702.0
694.3	12762.0
694.2	12784.0
694.1	12694.0
694.0	12911.0
693.9	12849.0
693.8	12721.0
693.7	12887.0
693.6	12875.0
693.5	12905.0
693.4	12839.0
693.3	12958.0
693.2	12923.0
693.1	12754.0
693.0	12932.0
692.9	12909.0
692.8	12852.0
692.7	12839.0
692.6	12637.0
692.5	12768.0
692.4	12705.0
692.3	12850.0
692.2	12891.0
692.1	12924.0
692.0	13084.0
691.9	12862.0
691.8	12997.0
691.7	12872.0
691.6	12825.0
691.5	12780.0
691.4	12847.0
691.3	12903.0
691.2	12711.0
691.1	12688.0
691.0	12730.0
690.9	12694.0
690.8	12864.0
690.7	12932.0
690.6	12854.0
690.5	12769.0
690.4	12866.0
690.3	12972.0
690.2	12983.0
690.1	12950.0
690.0	12773.0
689.9	12946.0
689.8	13063.0
689.7	12920.0
689.6	13015.0
689.5	13172.0
689.4	13033.0
689.3	12863.0
689.2	12891.0
689.1	12912.0
689.0	12802.0
688.9	13092.0
688.8	12966.0
688.7	12938.0
688.6	12965.0
688.5	12950.0
688.4	13034.0
688.3	13162.0
688.2	13233.0
688.1	13127.0
688.0	12968.0
687.9	13115.0
687.8	13182.0
687.7	13108.0
687.6	13288.0
687.5	13157.0
687.4	13326.0
687.3	13345.0
687.2	13512.0
687.1	13506.0
687.0	13559.0
686.9	13709.0
686.8	13581.0
686.7	13751.0
686.6	13760.0
686.5	13723.0
686.4	14083.0
686.3	14416.0
686.2	14387.0
686.1	14555.0
686.0	14808.0
685.9	14906.0
685.8	15012.0
685.7	15273.0
685.6	15647.0
685.5	16078.0
685.4	16703.0
685.3	17239.0
685.2	18187.0
685.1	19313.0
685.0	20931.0
684.9	21664.0
684.8	23217.0
684.7	24502.0
684.6	25371.0
684.5	25594.0
684.4	25412.0
684.3	24313.0
684.2	22896.0
684.1	21549.0
684.0	19781.0
683.9	18202.0
683.8	16913.0
683.7	15848.0
683.6	15037.0
683.5	14485.0
683.4	14025.0
683.3	13651.0
683.2	13409.0
683.1	13288.0
683.0	13053.0
682.9	12935.0
682.8	12913.0
682.7	12860.0
682.6	12804.0
682.5	12766.0
682.4	12734.0
682.3	12772.0
682.2	12627.0
682.1	12542.0
682.0	12446.0
681.9	12643.0
681.8	12443.0
681.7	12564.0
681.6	12647.0
681.5	12572.0
681.4	12559.0
681.3	12692.0
681.2	12688.0
681.1	12632.0
681.0	12549.0
680.9	12614.0
680.8	12435.0
680.7	12505.0
680.6	12547.0
680.5	12699.0
680.4	12692.0
680.3	12646.0
680.2	12521.0
680.1	12580.0
680.0	12690.0
679.9	12510.0
679.8	12583.0
679.7	12477.0
679.6	12454.0
679.5	12563.0
679.4	12550.0
679.3	12549.0
679.2	12530.0
679.1	12671.0
679.0	12586.0
678.9	12479.0
678.8	12588.0
678.7	12516.0
678.6	12511.0
678.5	12443.0
678.4	12354.0
678.3	12565.0
678.2	12482.0
678.1	12645.0
678.0	12601.0
677.9	12474.0
677.8	12462.0
677.7	12461.0
677.6	12681.0
677.5	12500.0
677.4	12721.0
677.3	12665.0
677.2	12500.0
677.1	12624.0
677.0	12585.0
676.9	12592.0
676.8	12471.0
676.7	12318.0
676.6	12625.0
676.5	12618.0
676.4	12532.0
676.3	12611.0
676.2	12577.0
676.1	12576.0
676.0	12482.0
675.9	12398.0
675.8	12447.0
675.7	12511.0
675.6	12619.0
675.5	12499.0
675.4	12472.0
675.3	12636.0
675.2	12724.0
675.1	12593.0
675.0	12656.0
