BE/eV	PE: 20.0 eV
540.0	15875.0
539.9	15759.0
539.8	15787.0
539.7	15623.0
539.6	15560.0
539.5	15487.0
539.4	15532.0
539.3	15542.0
539.2	15492.0
539.1	15503.0
539.0	15670.0
538.9	15409.0
538.8	15344.0
538.7	15476.0
538.6	15356.0
538.5	15372.0
538.4	15396.0
538.3	15574.0
538.2	15423.0
538.1	15352.0
538.0	15363.0
537.9	15384.0
537.8	15523.0
537.7	15415.0
537.6	15480.0
537.5	15269.0
537.4	15343.0
537.3	15381.0
537.2	15431.0
537.1	15574.0
537.0	15416.0
536.9	15434.0
536.8	15341.0
536.7	15565.0
536.6	15473.0
536.5	15476.0
536.4	15382.0
536.3	15271.0
536.2	15333.0
536.1	15351.0
536.0	15371.0
535.9	15555.0
535.8	15533.0
535.7	15311.0
535.6	15254.0
535.5	15403.0
535.4	15489.0
535.3	15410.0
535.2	15449.0
535.1	15638.0
535.0	15667.0
534.9	15534.0
534.8	15620.0
534.7	15424.0
534.6	15634.0
534.5	15876.0
534.4	15746.0
534.3	15777.0
534.2	15754.0
534.1	16077.0
534.0	16111.0
533.9	16120.0
533.8	16416.0
533.7	16567.0
533.6	16615.0
533.5	16754.0
533.4	16955.0
533.3	17295.0
533.2	17485.0
533.1	17656.0
533.0	18035.0
532.9	18455.0
532.8	18706.0
532.7	19040.0
532.6	19414.0
532.5	19553.0
532.4	19655.0
532.3	20173.0
532.2	20373.0
532.1	20395.0
532.0	20876.0
531.9	21022.0
531.8	21302.0
531.7	21307.0
531.6	21616.0
531.5	21758.0
531.4	22082.0
531.3	22220.0
531.2	22387.0
531.1	22496.0
531.0	23024.0
530.9	23155.0
530.8	23505.0
530.7	24337.0
530.6	24816.0
530.5	25481.0
530.4	26326.0
530.3	26908.0
530.2	26749.0
530.1	26651.0
530.0	26662.0
529.9	26457.0
529.8	26310.0
529.7	26528.0
529.6	26798.0
529.5	27301.0
529.4	27818.0
529.3	28105.0
529.2	28218.0
529.1	27425.0
529.0	25657.0
528.9	23432.0
528.8	21080.0
528.7	19075.0
528.6	17566.0
528.5	16611.0
528.4	15998.0
528.3	15438.0
528.2	15074.0
528.1	15022.0
528.0	14833.0
527.9	14882.0
527.8	14805.0
527.7	14768.0
527.6	14694.0
527.5	14679.0
527.4	14733.0
527.3	14623.0
527.2	14604.0
527.1	14488.0
527.0	14686.0
526.9	14541.0
526.8	14656.0
526.7	14553.0
526.6	14657.0
526.5	14540.0
526.4	14421.0
526.3	14571.0
526.2	14715.0
526.1	14456.0
526.0	14299.0
525.9	14569.0
525.8	14624.0
525.7	14258.0
525.6	14393.0
525.5	14439.0
525.4	14529.0
525.3	14567.0
525.2	14533.0
525.1	14519.0
525.0	14542.0
