BE/eV	PE: 160.0 eV
1200.0	85947.0
1199.0	86288.0
1198.0	85804.0
1197.0	86149.0
1196.0	86656.0
1195.0	86984.0
1194.0	87147.0
1193.0	87249.0
1192.0	87393.0
1191.0	87266.0
1190.0	88074.0
1189.0	88401.0
1188.0	88360.0
1187.0	88471.0
1186.0	88906.0
1185.0	89168.0
1184.0	89255.0
1183.0	89607.0
1182.0	89747.0
1181.0	90184.0
1180.0	90388.0
1179.0	90335.0
1178.0	90923.0
1177.0	91098.0
1176.0	91681.0
1175.0	91317.0
1174.0	91718.0
1173.0	92196.0
1172.0	92611.0
1171.0	92527.0
1170.0	92579.0
1169.0	93007.0
1168.0	93439.0
1167.0	93772.0
1166.0	94211.0
1165.0	94147.0
1164.0	94402.0
1163.0	95377.0
1162.0	95112.0
1161.0	95258.0
1160.0	95850.0
1159.0	96634.0
1158.0	97222.0
1157.0	97579.0
1156.0	97774.0
1155.0	98272.0
1154.0	98930.0
1153.0	98763.0
1152.0	98369.0
1151.0	99154.0
1150.0	98493.0
1149.0	98597.0
1148.0	99018.0
1147.0	99114.0
1146.0	99422.0
1145.0	99192.0
1144.0	98863.0
1143.0	98826.0
1142.0	99468.0
1141.0	99909.0
1140.0	100322.0
1139.0	100921.0
1138.0	101325.0
1137.0	101783.0
1136.0	103012.0
1135.0	104131.0
1134.0	105498.0
1133.0	106309.0
1132.0	106973.0
1131.0	107015.0
1130.0	106464.0
1129.0	106255.0
1128.0	106625.0
1127.0	106689.0
1126.0	107118.0
1125.0	108282.0
1124.0	108898.0
1123.0	108990.0
1122.0	108248.0
1121.0	107566.0
1120.0	106524.0
1119.0	105803.0
1118.0	105940.0
1117.0	106012.0
1116.0	106555.0
1115.0	107005.0
1114.0	107719.0
1113.0	109328.0
1112.0	110736.0
1111.0	112235.0
1110.0	113614.0
1109.0	115805.0
1108.0	118504.0
1107.0	120938.0
1106.0	123376.0
1105.0	126839.0
1104.0	128967.0
1103.0	127696.0
1102.0	124132.0
1101.0	120791.0
1100.0	119163.0
1099.0	117511.0
1098.0	111456.0
1097.0	101529.0
1096.0	93116.0
1095.0	88061.0
1094.0	85155.0
1093.0	82757.0
1092.0	81258.0
1091.0	80163.0
1090.0	78660.0
1089.0	77364.0
1088.0	76905.0
1087.0	76440.0
1086.0	75752.0
1085.0	75318.0
1084.0	75384.0
1083.0	75436.0
1082.0	75371.0
1081.0	75711.0
1080.0	76405.0
1079.0	76412.0
1078.0	77277.0
1077.0	78462.0
1076.0	79636.0
1075.0	80111.0
1074.0	81874.0
1073.0	83743.0
1072.0	86312.0
1071.0	89231.0
1070.0	91467.0
1069.0	92432.0
1068.0	91175.0
1067.0	88926.0
1066.0	86533.0
1065.0	82495.0
1064.0	76087.0
1063.0	71637.0
1062.0	69493.0
1061.0	68238.0
1060.0	67250.0
1059.0	66667.0
1058.0	66292.0
1057.0	65779.0
1056.0	65586.0
1055.0	65404.0
1054.0	65558.0
1053.0	65540.0
1052.0	66004.0
1051.0	65750.0
1050.0	65281.0
1049.0	65427.0
1048.0	66002.0
1047.0	65907.0
1046.0	66178.0
1045.0	66561.0
1044.0	66514.0
1043.0	67202.0
1042.0	67017.0
1041.0	67222.0
1040.0	67608.0
1039.0	68042.0
1038.0	68419.0
1037.0	68612.0
1036.0	68916.0
1035.0	69068.0
1034.0	68299.0
1033.0	67534.0
1032.0	67404.0
1031.0	66764.0
1030.0	66658.0
1029.0	66766.0
1028.0	66470.0
1027.0	66795.0
1026.0	66707.0
1025.0	66929.0
1024.0	66743.0
1023.0	66588.0
1022.0	66626.0
1021.0	67264.0
1020.0	67223.0
1019.0	66931.0
1018.0	67354.0
1017.0	67579.0
1016.0	67475.0
1015.0	67853.0
1014.0	67767.0
1013.0	67405.0
1012.0	67476.0
1011.0	67877.0
1010.0	68229.0
1009.0	68393.0
1008.0	68714.0
1007.0	68520.0
1006.0	68633.0
1005.0	68818.0
1004.0	68945.0
1003.0	68959.0
1002.0	69435.0
1001.0	69509.0
1000.0	69719.0
999.0	69731.0
998.0	70370.0
997.0	71006.0
996.0	71573.0
995.0	71966.0
994.0	72534.0
993.0	72566.0
992.0	72642.0
991.0	72023.0
990.0	71219.0
989.0	69941.0
988.0	69882.0
987.0	70098.0
986.0	69848.0
985.0	69469.0
984.0	69288.0
983.0	69193.0
982.0	69599.0
981.0	69994.0
980.0	71023.0
979.0	72502.0
978.0	74235.0
977.0	76376.0
976.0	78753.0
975.0	80859.0
974.0	81786.0
973.0	82637.0
972.0	82970.0
971.0	79711.0
970.0	73353.0
969.0	69311.0
968.0	67241.0
967.0	65939.0
966.0	64712.0
965.0	64185.0
964.0	63666.0
963.0	63130.0
962.0	62660.0
961.0	62442.0
960.0	62335.0
959.0	61902.0
958.0	62028.0
957.0	62048.0
956.0	61975.0
955.0	62230.0
954.0	62270.0
953.0	62342.0
952.0	62316.0
951.0	62387.0
950.0	62409.0
949.0	62512.0
948.0	62676.0
947.0	62307.0
946.0	62641.0
945.0	62940.0
944.0	63071.0
943.0	62852.0
942.0	63365.0
941.0	63197.0
940.0	62892.0
939.0	63766.0
938.0	63771.0
937.0	63351.0
936.0	63607.0
935.0	63840.0
934.0	63658.0
933.0	63673.0
932.0	64367.0
931.0	64226.0
930.0	63903.0
929.0	64186.0
928.0	64370.0
927.0	64544.0
926.0	64853.0
925.0	64812.0
924.0	64676.0
923.0	64766.0
922.0	65154.0
921.0	65071.0
920.0	65238.0
919.0	65205.0
918.0	65305.0
917.0	65276.0
916.0	65104.0
915.0	65713.0
914.0	65877.0
913.0	65825.0
912.0	65855.0
911.0	66006.0
910.0	65751.0
909.0	65770.0
908.0	66063.0
907.0	66548.0
906.0	66267.0
905.0	66547.0
904.0	66759.0
903.0	66810.0
902.0	67053.0
901.0	66896.0
900.0	67093.0
899.0	67020.0
898.0	66851.0
897.0	67084.0
896.0	67315.0
895.0	67757.0
894.0	67550.0
893.0	67431.0
892.0	67570.0
891.0	67830.0
890.0	68062.0
889.0	67705.0
888.0	68129.0
887.0	68041.0
886.0	68697.0
885.0	68872.0
884.0	68542.0
883.0	69146.0
882.0	69288.0
881.0	69603.0
880.0	69638.0
879.0	69952.0
878.0	70230.0
877.0	69675.0
876.0	70568.0
875.0	70921.0
874.0	70612.0
873.0	70869.0
872.0	70715.0
871.0	70331.0
870.0	70209.0
869.0	69853.0
868.0	70040.0
867.0	69867.0
866.0	70071.0
865.0	70292.0
864.0	70022.0
863.0	70856.0
862.0	71184.0
861.0	71402.0
860.0	71525.0
859.0	72349.0
858.0	72650.0
857.0	73202.0
856.0	74160.0
855.0	75408.0
854.0	76044.0
853.0	75502.0
852.0	73923.0
851.0	71967.0
850.0	71645.0
849.0	71775.0
848.0	71830.0
847.0	72119.0
846.0	72697.0
845.0	72623.0
844.0	72033.0
843.0	71417.0
842.0	70955.0
841.0	71321.0
840.0	71476.0
839.0	72145.0
838.0	71857.0
837.0	72261.0
836.0	73417.0
835.0	74440.0
834.0	75750.0
833.0	76617.0
832.0	77370.0
831.0	78667.0
830.0	81523.0
829.0	84790.0
828.0	91100.0
827.0	91123.0
826.0	80133.0
825.0	71740.0
824.0	69725.0
823.0	69015.0
822.0	68928.0
821.0	68731.0
820.0	68762.0
819.0	68573.0
818.0	68664.0
817.0	68561.0
816.0	69517.0
815.0	69385.0
814.0	69226.0
813.0	69511.0
812.0	69472.0
811.0	69408.0
810.0	68728.0
809.0	69037.0
808.0	69084.0
807.0	68707.0
806.0	69007.0
805.0	68910.0
804.0	69332.0
803.0	69157.0
802.0	69325.0
801.0	69161.0
800.0	69530.0
799.0	70019.0
798.0	70008.0
797.0	69957.0
796.0	69871.0
795.0	69971.0
794.0	70322.0
793.0	70891.0
792.0	70645.0
791.0	70483.0
790.0	70432.0
789.0	70881.0
788.0	70943.0
787.0	71004.0
786.0	70705.0
785.0	70609.0
784.0	71077.0
783.0	71089.0
782.0	71584.0
781.0	71158.0
780.0	71406.0
779.0	71802.0
778.0	71425.0
777.0	71692.0
776.0	71809.0
775.0	71892.0
774.0	72093.0
773.0	72139.0
772.0	72050.0
771.0	72289.0
770.0	72069.0
769.0	72344.0
768.0	72443.0
767.0	72627.0
766.0	73178.0
765.0	73422.0
764.0	73345.0
763.0	73245.0
762.0	73287.0
761.0	73242.0
760.0	73495.0
759.0	73743.0
758.0	73629.0
757.0	73725.0
756.0	73986.0
755.0	74029.0
754.0	73663.0
753.0	74056.0
752.0	74386.0
751.0	74482.0
750.0	74337.0
749.0	74662.0
748.0	74616.0
747.0	74129.0
746.0	74686.0
745.0	74699.0
744.0	74810.0
743.0	74946.0
742.0	75315.0
741.0	75557.0
740.0	75307.0
739.0	75565.0
738.0	75813.0
737.0	76269.0
736.0	76014.0
735.0	76051.0
734.0	76331.0
733.0	76315.0
732.0	76441.0
731.0	76510.0
730.0	76271.0
729.0	76094.0
728.0	76542.0
727.0	76298.0
726.0	76153.0
725.0	76245.0
724.0	75951.0
723.0	76463.0
722.0	76631.0
721.0	76573.0
720.0	76504.0
719.0	77472.0
718.0	77298.0
717.0	77508.0
716.0	77775.0
715.0	77670.0
714.0	78416.0
713.0	78634.0
712.0	78695.0
711.0	78797.0
710.0	79986.0
709.0	79394.0
708.0	79822.0
707.0	79558.0
706.0	79437.0
705.0	78811.0
704.0	78717.0
703.0	78313.0
702.0	78285.0
701.0	78140.0
700.0	77906.0
699.0	77987.0
698.0	77828.0
697.0	77947.0
696.0	77961.0
695.0	77904.0
694.0	78378.0
693.0	78824.0
692.0	78633.0
691.0	78738.0
690.0	79239.0
689.0	80027.0
688.0	81518.0
687.0	85314.0
686.0	93991.0
685.0	113503.0
684.0	114398.0
683.0	92625.0
682.0	79949.0
681.0	77245.0
680.0	76125.0
679.0	76282.0
678.0	76554.0
677.0	76806.0
676.0	77064.0
675.0	76511.0
674.0	76661.0
673.0	77025.0
672.0	77026.0
671.0	76973.0
670.0	77101.0
669.0	77410.0
668.0	77369.0
667.0	77119.0
666.0	77393.0
665.0	77321.0
664.0	77991.0
663.0	77676.0
662.0	77841.0
661.0	77967.0
660.0	78167.0
659.0	78239.0
658.0	78424.0
657.0	78649.0
656.0	78651.0
655.0	78438.0
654.0	78970.0
653.0	79222.0
652.0	78973.0
651.0	79214.0
650.0	79561.0
649.0	79727.0
648.0	79777.0
647.0	79652.0
646.0	79872.0
645.0	79987.0
644.0	80025.0
643.0	80462.0
642.0	80113.0
641.0	79723.0
640.0	80441.0
639.0	80633.0
638.0	81042.0
637.0	81021.0
636.0	81396.0
635.0	81584.0
634.0	81499.0
633.0	81026.0
632.0	81895.0
631.0	81819.0
630.0	81705.0
629.0	82267.0
628.0	82195.0
627.0	82086.0
626.0	82435.0
625.0	82764.0
624.0	82503.0
623.0	82798.0
622.0	83300.0
621.0	83402.0
620.0	82913.0
619.0	83588.0
618.0	83797.0
617.0	83903.0
616.0	84273.0
615.0	84274.0
614.0	84582.0
613.0	84881.0
612.0	85014.0
611.0	85105.0
610.0	85655.0
609.0	85446.0
608.0	85515.0
607.0	85426.0
606.0	85508.0
605.0	85484.0
604.0	85888.0
603.0	85854.0
602.0	85617.0
601.0	85606.0
600.0	86336.0
599.0	86151.0
598.0	86011.0
597.0	86680.0
596.0	87008.0
595.0	87423.0
594.0	87913.0
593.0	87571.0
592.0	88586.0
591.0	89129.0
590.0	88935.0
589.0	90078.0
588.0	90829.0
587.0	90561.0
586.0	90778.0
585.0	91089.0
584.0	91352.0
583.0	91322.0
582.0	91702.0
581.0	92518.0
580.0	92540.0
579.0	92753.0
578.0	92918.0
577.0	93077.0
576.0	92930.0
575.0	93182.0
574.0	92849.0
573.0	92197.0
572.0	92109.0
571.0	91490.0
570.0	91375.0
569.0	92367.0
568.0	92837.0
567.0	95143.0
566.0	97838.0
565.0	101311.0
564.0	104219.0
563.0	107372.0
562.0	106836.0
561.0	104718.0
560.0	99543.0
559.0	93223.0
558.0	88417.0
557.0	85045.0
556.0	83168.0
555.0	81777.0
554.0	81006.0
553.0	80075.0
552.0	79261.0
551.0	78539.0
550.0	77990.0
549.0	78072.0
548.0	77966.0
547.0	78368.0
546.0	77946.0
545.0	78075.0
544.0	78117.0
543.0	77966.0
542.0	77418.0
541.0	76314.0
540.0	76283.0
539.0	75702.0
538.0	75216.0
537.0	75295.0
536.0	75493.0
535.0	77029.0
534.0	80398.0
533.0	86885.0
532.0	96202.0
531.0	106395.0
530.0	116505.0
529.0	110778.0
528.0	87150.0
527.0	73624.0
526.0	71217.0
525.0	70493.0
524.0	70466.0
523.0	70056.0
522.0	69779.0
521.0	69974.0
520.0	70214.0
519.0	70365.0
518.0	70272.0
517.0	70136.0
516.0	70652.0
515.0	71083.0
514.0	71032.0
513.0	71442.0
512.0	71762.0
511.0	71718.0
510.0	71964.0
509.0	72152.0
508.0	72599.0
507.0	72889.0
506.0	72396.0
505.0	72797.0
504.0	72642.0
503.0	72244.0
502.0	72151.0
501.0	71947.0
500.0	71676.0
499.0	71527.0
498.0	71570.0
497.0	71139.0
496.0	71198.0
495.0	71112.0
494.0	71953.0
493.0	71752.0
492.0	71855.0
491.0	72937.0
490.0	73331.0
489.0	74388.0
488.0	75330.0
487.0	76349.0
486.0	77616.0
485.0	78536.0
484.0	79198.0
483.0	80430.0
482.0	80992.0
481.0	81956.0
480.0	82649.0
479.0	82784.0
478.0	83664.0
477.0	84257.0
476.0	83629.0
475.0	83506.0
474.0	83603.0
473.0	83300.0
472.0	82636.0
471.0	82643.0
470.0	81220.0
469.0	80956.0
468.0	80138.0
467.0	80046.0
466.0	81711.0
465.0	85881.0
464.0	90292.0
463.0	97307.0
462.0	107741.0
461.0	114314.0
460.0	109266.0
459.0	103846.0
458.0	103901.0
457.0	112432.0
456.0	132328.0
455.0	140487.0
454.0	100851.0
453.0	51495.0
452.0	33442.0
451.0	30498.0
450.0	29152.0
449.0	28530.0
448.0	28433.0
447.0	28113.0
446.0	27753.0
445.0	27408.0
444.0	27611.0
443.0	27628.0
442.0	27698.0
441.0	27660.0
440.0	27580.0
439.0	27628.0
438.0	27633.0
437.0	27527.0
436.0	27540.0
435.0	27476.0
434.0	27478.0
433.0	27416.0
432.0	27441.0
431.0	27467.0
430.0	27376.0
429.0	27408.0
428.0	27619.0
427.0	27533.0
426.0	27592.0
425.0	27374.0
424.0	27574.0
423.0	27544.0
422.0	27546.0
421.0	27737.0
420.0	27719.0
419.0	27578.0
418.0	27580.0
417.0	27541.0
416.0	27548.0
415.0	27792.0
414.0	27810.0
413.0	27705.0
412.0	28089.0
411.0	27700.0
410.0	27527.0
409.0	27391.0
408.0	27714.0
407.0	27494.0
406.0	27458.0
405.0	27694.0
404.0	27762.0
403.0	27875.0
402.0	28397.0
401.0	28773.0
400.0	28591.0
399.0	28440.0
398.0	27874.0
397.0	27919.0
396.0	28082.0
395.0	27765.0
394.0	27671.0
393.0	27726.0
392.0	27693.0
391.0	27461.0
390.0	27525.0
389.0	27493.0
388.0	27535.0
387.0	27718.0
386.0	27643.0
385.0	27800.0
384.0	27760.0
383.0	27652.0
382.0	27742.0
381.0	27667.0
380.0	27600.0
379.0	27771.0
378.0	27872.0
377.0	27666.0
376.0	27720.0
375.0	27746.0
374.0	27760.0
373.0	27754.0
372.0	27825.0
371.0	27967.0
370.0	27926.0
369.0	27981.0
368.0	27804.0
367.0	28095.0
366.0	27956.0
365.0	27720.0
364.0	27694.0
363.0	27780.0
362.0	27741.0
361.0	27938.0
360.0	27851.0
359.0	27870.0
358.0	27862.0
357.0	28004.0
356.0	28042.0
355.0	28268.0
354.0	27999.0
353.0	28230.0
352.0	28216.0
351.0	28310.0
350.0	28289.0
349.0	28212.0
348.0	28343.0
347.0	28441.0
346.0	28663.0
345.0	28143.0
344.0	28183.0
343.0	28304.0
342.0	28363.0
341.0	28271.0
340.0	28502.0
339.0	28206.0
338.0	28228.0
337.0	27999.0
336.0	28140.0
335.0	28002.0
334.0	27999.0
333.0	27848.0
332.0	27629.0
331.0	27392.0
330.0	27381.0
329.0	27491.0
328.0	27862.0
327.0	27859.0
326.0	27598.0
325.0	27941.0
324.0	28058.0
323.0	28351.0
322.0	28825.0
321.0	28944.0
320.0	29085.0
319.0	29656.0
318.0	29617.0
317.0	29929.0
316.0	29836.0
315.0	29787.0
314.0	29824.0
313.0	30076.0
312.0	29908.0
311.0	29862.0
310.0	29444.0
309.0	28552.0
308.0	27996.0
307.0	27172.0
306.0	26054.0
305.0	25120.0
304.0	24121.0
303.0	22999.0
302.0	22112.0
301.0	20842.0
300.0	20024.0
299.0	19685.0
298.0	19306.0
297.0	19278.0
296.0	19528.0
295.0	20155.0
294.0	21240.0
293.0	22514.0
292.0	24190.0
291.0	26126.0
290.0	27343.0
289.0	28025.0
288.0	28774.0
287.0	31613.0
286.0	40858.0
285.0	66473.0
284.0	108665.0
283.0	83235.0
282.0	41275.0
281.0	30151.0
280.0	17466.0
279.0	9324.0
278.0	8030.0
277.0	7826.0
276.0	7745.0
275.0	7571.0
274.0	7577.0
273.0	7745.0
272.0	8104.0
271.0	8633.0
270.0	9261.0
269.0	9245.0
268.0	8432.0
267.0	7746.0
266.0	7410.0
265.0	7334.0
264.0	7208.0
263.0	7251.0
262.0	7178.0
261.0	7285.0
260.0	7251.0
259.0	7089.0
258.0	7287.0
257.0	7211.0
256.0	7194.0
255.0	7103.0
254.0	7163.0
253.0	7297.0
252.0	7218.0
251.0	7294.0
250.0	7361.0
249.0	7405.0
248.0	7259.0
247.0	7434.0
246.0	7401.0
245.0	7404.0
244.0	7438.0
243.0	7411.0
242.0	7323.0
241.0	7235.0
240.0	7251.0
239.0	7341.0
238.0	7202.0
237.0	7286.0
236.0	7453.0
235.0	7351.0
234.0	7358.0
233.0	7431.0
232.0	7265.0
231.0	7390.0
230.0	7489.0
229.0	7536.0
228.0	7573.0
227.0	7499.0
226.0	7615.0
225.0	7728.0
224.0	7694.0
223.0	7756.0
222.0	7655.0
221.0	7663.0
220.0	7813.0
219.0	7637.0
218.0	7816.0
217.0	7577.0
216.0	7565.0
215.0	7618.0
214.0	7698.0
213.0	7583.0
212.0	7702.0
211.0	7764.0
210.0	7577.0
209.0	7638.0
208.0	7683.0
207.0	7682.0
206.0	7610.0
205.0	7677.0
204.0	7875.0
203.0	7981.0
202.0	8425.0
201.0	9546.0
200.0	10703.0
199.0	11808.0
198.0	10694.0
197.0	8505.0
196.0	7595.0
195.0	7485.0
194.0	7411.0
193.0	7376.0
192.0	7479.0
191.0	7414.0
190.0	7357.0
189.0	7358.0
188.0	7352.0
187.0	7393.0
186.0	7538.0
185.0	7459.0
184.0	7526.0
183.0	7462.0
182.0	7542.0
181.0	7656.0
180.0	7533.0
179.0	7556.0
178.0	7654.0
177.0	7669.0
176.0	7678.0
175.0	7699.0
174.0	7601.0
173.0	7607.0
172.0	7659.0
171.0	7621.0
170.0	7552.0
169.0	7627.0
168.0	7687.0
167.0	7715.0
166.0	7708.0
165.0	7753.0
164.0	7721.0
163.0	7763.0
162.0	7692.0
161.0	7874.0
160.0	7871.0
159.0	7732.0
158.0	7853.0
157.0	7865.0
156.0	8040.0
155.0	8164.0
154.0	8332.0
153.0	8568.0
152.0	8530.0
151.0	8346.0
150.0	8179.0
149.0	8109.0
148.0	8102.0
147.0	7974.0
146.0	7966.0
145.0	8069.0
144.0	8115.0
143.0	8098.0
142.0	8161.0
141.0	8175.0
140.0	8203.0
139.0	8328.0
138.0	8265.0
137.0	8150.0
136.0	8231.0
135.0	8202.0
134.0	8412.0
133.0	8354.0
132.0	8333.0
131.0	8453.0
130.0	8456.0
129.0	8423.0
128.0	8479.0
127.0	8501.0
126.0	8524.0
125.0	8603.0
124.0	8616.0
123.0	8645.0
122.0	8543.0
121.0	8671.0
120.0	8571.0
119.0	8662.0
118.0	8595.0
117.0	8493.0
116.0	8719.0
115.0	8832.0
114.0	8800.0
113.0	8800.0
112.0	8843.0
111.0	8943.0
110.0	9030.0
109.0	8977.0
108.0	9018.0
107.0	8973.0
106.0	9140.0
105.0	9144.0
104.0	9269.0
103.0	9664.0
