BE/eV	PE: 20.0 eV
285.0	2787.0
284.9000000000001	3356.0
284.79999999999995	4097.0
284.70000000000005	5614.0
284.5999999999999	7470.0
284.5	9712.0
284.4000000000001	11643.0
284.29999999999995	12354.0
284.20000000000005	10858.0
284.0999999999999	8020.0
284.0	4918.0
283.9000000000001	2820.0
283.79999999999995	1650.0
283.70000000000005	1092.0
283.5999999999999	812.0
283.5	573.0
283.4000000000001	464.0
283.29999999999995	360.0
283.20000000000005	283.0
283.0999999999999	262.0
283.0	221.0
282.9000000000001	220.0
282.79999999999995	204.0
282.70000000000005	183.0
282.5999999999999	196.0
282.5	178.0
282.4000000000001	204.0
282.29999999999995	207.0
282.20000000000005	222.0
282.0999999999999	302.0
282.0	373.0
281.9000000000001	403.0
281.79999999999995	424.0
281.70000000000005	427.0
281.5999999999999	334.0
281.5	248.0
281.4000000000001	152.0
281.29999999999995	136.0
281.20000000000005	116.0
281.0999999999999	98.0
281.0	89.0
280.9000000000001	70.0
280.79999999999995	83.0
280.70000000000005	77.0
280.5999999999999	73.0
280.5	82.0
280.4000000000001	76.0
280.29999999999995	71.0
280.20000000000005	67.0
280.0999999999999	73.0
280.0	74.0
279.9000000000001	71.0
279.79999999999995	71.0
279.70000000000005	53.0
279.5999999999999	61.0
279.5	67.0
279.4000000000001	73.0
279.29999999999995	80.0
279.20000000000005	66.0
279.0999999999999	60.0
279.0	67.0
278.9000000000001	71.0
278.79999999999995	70.0
278.70000000000005	71.0
278.5999999999999	63.0
278.5	57.0
278.4000000000001	62.0
278.29999999999995	67.0
278.20000000000005	58.0
278.0999999999999	74.0
278.0	78.0
277.9000000000001	76.0
277.79999999999995	52.0
277.70000000000005	54.0
277.5999999999999	57.0
277.5	52.0
277.4000000000001	63.0
277.29999999999995	65.0
277.20000000000005	60.0
277.0999999999999	57.0
277.0	61.0
276.9000000000001	64.0
276.79999999999995	65.0
276.70000000000005	60.0
276.5999999999999	72.0
276.5	65.0
276.4000000000001	64.0
276.29999999999995	68.0
276.20000000000005	52.0
276.0999999999999	59.0
276.0	59.0
275.9000000000001	49.0
275.79999999999995	71.0
275.70000000000005	58.0
275.5999999999999	56.0
275.5	63.0
275.4000000000001	69.0
275.29999999999995	65.0
275.20000000000005	63.0
275.0999999999999	67.0
275.0	59.0
274.9000000000001	53.0
274.79999999999995	58.0
274.70000000000005	54.0
274.5999999999999	57.0
274.5	58.0
274.4000000000001	63.0
274.29999999999995	62.0
274.20000000000005	52.0
274.0999999999999	67.0
274.0	63.0
273.9000000000001	59.0
273.79999999999995	63.0
273.70000000000005	66.0
273.5999999999999	63.0
273.5	81.0
273.4000000000001	66.0
273.29999999999995	50.0
273.20000000000005	62.0
273.0999999999999	53.0
273.0	59.0
272.9000000000001	68.0
272.79999999999995	54.0
272.70000000000005	66.0
272.5999999999999	62.0
272.5	54.0
272.4000000000001	69.0
272.29999999999995	54.0
272.20000000000005	55.0
272.0999999999999	64.0
272.0	68.0
271.9000000000001	63.0
271.79999999999995	70.0
271.70000000000005	73.0
271.5999999999999	61.0
271.5	66.0
271.4000000000001	68.0
271.29999999999995	62.0
271.20000000000005	69.0
271.0999999999999	72.0
271.0	69.0
270.9000000000001	66.0
270.79999999999995	82.0
270.70000000000005	74.0
270.5999999999999	76.0
270.5	65.0
270.4000000000001	66.0
270.29999999999995	84.0
270.20000000000005	67.0
270.0999999999999	78.0
270.0	73.0
269.9000000000001	75.0
269.79999999999995	71.0
269.70000000000005	71.0
269.5999999999999	84.0
269.5	77.0
269.4000000000001	74.0
269.29999999999995	66.0
269.20000000000005	67.0
269.0999999999999	65.0
269.0	66.0
268.9000000000001	73.0
268.79999999999995	67.0
268.70000000000005	70.0
268.5999999999999	59.0
268.5	64.0
268.4000000000001	61.0
268.29999999999995	79.0
268.20000000000005	76.0
268.0999999999999	58.0
268.0	62.0
267.9000000000001	64.0
267.79999999999995	62.0
267.70000000000005	53.0
267.5999999999999	64.0
267.5	61.0
267.4000000000001	56.0
267.29999999999995	65.0
267.20000000000005	75.0
267.0999999999999	62.0
267.0	59.0
266.9000000000001	51.0
266.79999999999995	62.0
266.70000000000005	58.0
266.5999999999999	54.0
266.5	68.0
266.4000000000001	58.0
266.29999999999995	73.0
266.20000000000005	65.0
266.0999999999999	65.0
266.0	54.0
265.9000000000001	63.0
265.79999999999995	62.0
265.70000000000005	53.0
265.5999999999999	50.0
265.5	65.0
265.4000000000001	63.0
265.29999999999995	55.0
265.20000000000005	62.0
265.0999999999999	60.0
265.0	60.0
264.9000000000001	57.0
264.79999999999995	62.0
264.70000000000005	68.0
264.5999999999999	65.0
264.5	63.0
264.4000000000001	68.0
264.29999999999995	65.0
264.20000000000005	51.0
264.0999999999999	61.0
264.0	62.0
263.9000000000001	56.0
263.79999999999995	60.0
263.70000000000005	52.0
263.5999999999999	57.0
263.5	77.0
263.4000000000001	64.0
263.29999999999995	55.0
263.20000000000005	50.0
263.0999999999999	58.0
263.0	65.0
262.9000000000001	61.0
262.79999999999995	57.0
262.70000000000005	61.0
262.5999999999999	57.0
262.5	61.0
262.4000000000001	62.0
262.29999999999995	59.0
262.20000000000005	66.0
262.0999999999999	54.0
262.0	59.0
261.9000000000001	62.0
261.79999999999995	60.0
261.70000000000005	66.0
261.5999999999999	66.0
261.5	58.0
261.4000000000001	49.0
261.29999999999995	53.0
261.20000000000005	52.0
261.0999999999999	62.0
261.0	59.0
260.9000000000001	61.0
260.79999999999995	63.0
260.70000000000005	55.0
260.5999999999999	61.0
260.5	64.0
260.4000000000001	65.0
260.29999999999995	59.0
260.20000000000005	68.0
260.0999999999999	60.0
260.0	57.0
259.9000000000001	63.0
259.79999999999995	59.0
259.70000000000005	61.0
259.5999999999999	57.0
259.5	58.0
259.4000000000001	55.0
259.29999999999995	60.0
259.20000000000005	61.0
259.0999999999999	58.0
259.0	56.0
258.9000000000001	51.0
258.79999999999995	44.0
258.70000000000005	58.0
258.5999999999999	53.0
258.5	55.0
258.4000000000001	59.0
258.29999999999995	57.0
258.20000000000005	61.0
258.0999999999999	56.0
258.0	62.0
257.9000000000001	56.0
257.79999999999995	60.0
257.70000000000005	67.0
257.5999999999999	64.0
257.5	63.0
257.4000000000001	54.0
257.29999999999995	59.0
257.20000000000005	62.0
257.0999999999999	47.0
257.0	50.0
256.9000000000001	54.0
256.79999999999995	68.0
256.70000000000005	58.0
256.5999999999999	52.0
256.5	45.0
256.4000000000001	57.0
256.29999999999995	67.0
256.20000000000005	64.0
256.0999999999999	47.0
256.0	64.0
255.9000000000001	55.0
255.79999999999995	53.0
255.70000000000005	55.0
255.5999999999999	62.0
255.5	63.0
255.4000000000001	50.0
255.29999999999995	65.0
255.20000000000005	64.0
255.0999999999999	65.0
255.0	58.0
