BE/eV	PE: 20.0 eV
695.0	7254.0
694.9	7314.0
694.8	7250.0
694.7	7355.0
694.6	7196.0
694.5	7335.0
694.4	7276.0
694.3	7225.0
694.2	7310.0
694.1	7269.0
694.0	7206.0
693.9	7291.0
693.8	7385.0
693.7	7277.0
693.6	7299.0
693.5	7284.0
693.4	7427.0
693.3	7347.0
693.2	7320.0
693.1	7247.0
693.0	7346.0
692.9	7457.0
692.8	7349.0
692.7	7194.0
692.6	7321.0
692.5	7502.0
692.4	7275.0
692.3	7224.0
692.2	7244.0
692.1	7464.0
692.0	7338.0
691.9	7373.0
691.8	7203.0
691.7	7207.0
691.6	7324.0
691.5	7392.0
691.4	7368.0
691.3	7412.0
691.2	7368.0
691.1	7420.0
691.0	7416.0
690.9	7265.0
690.8	7296.0
690.7	7359.0
690.6	7354.0
690.5	7255.0
690.4	7257.0
690.3	7332.0
690.2	7351.0
690.1	7391.0
690.0	7378.0
689.9	7275.0
689.8	7315.0
689.7	7300.0
689.6	7322.0
689.5	7286.0
689.4	7313.0
689.3	7305.0
689.2	7385.0
689.1	7451.0
689.0	7404.0
688.9	7364.0
688.8	7537.0
688.7	7499.0
688.6	7304.0
688.5	7235.0
688.4	7464.0
688.3	7378.0
688.2	7473.0
688.1	7382.0
688.0	7364.0
687.9	7439.0
687.8	7324.0
687.7	7320.0
687.6	7442.0
687.5	7566.0
687.4	7372.0
687.3	7601.0
687.2	7463.0
687.1	7564.0
687.0	7430.0
686.9	7517.0
686.8	7462.0
686.7	7583.0
686.6	7574.0
686.5	7590.0
686.4	7744.0
686.3	7638.0
686.2	7714.0
686.1	7765.0
686.0	7815.0
685.9	7834.0
685.8	7900.0
685.7	7951.0
685.6	8083.0
685.5	8288.0
685.4	8354.0
685.3	8602.0
685.2	9004.0
685.1	9261.0
685.0	9565.0
684.9	9897.0
684.8	10249.0
684.7	10300.0
684.6	10300.0
684.5	10224.0
684.4	10065.0
684.3	9696.0
684.2	9198.0
684.1	8769.0
684.0	8436.0
683.9	8132.0
683.8	8002.0
683.7	7888.0
683.6	7568.0
683.5	7444.0
683.4	7288.0
683.3	7411.0
683.2	7407.0
683.1	7506.0
683.0	7352.0
682.9	7363.0
682.8	7322.0
682.7	7263.0
682.6	7319.0
682.5	7258.0
682.4	7332.0
682.3	7294.0
682.2	7302.0
682.1	7326.0
682.0	7377.0
681.9	7277.0
681.8	7190.0
681.7	7219.0
681.6	7252.0
681.5	7264.0
681.4	7264.0
681.3	7331.0
681.2	7313.0
681.1	7196.0
681.0	7243.0
680.9	7290.0
680.8	7387.0
680.7	7279.0
680.6	7287.0
680.5	7277.0
680.4	7225.0
680.3	7129.0
680.2	7347.0
680.1	7291.0
680.0	7310.0
679.9	7330.0
679.8	7188.0
679.7	7309.0
679.6	7327.0
679.5	7248.0
679.4	7355.0
679.3	7262.0
679.2	7151.0
679.1	7248.0
679.0	7225.0
678.9	7095.0
678.8	7166.0
678.7	7276.0
678.6	7301.0
678.5	7131.0
678.4	7295.0
678.3	7324.0
678.2	7303.0
678.1	7273.0
678.0	7163.0
677.9	7298.0
677.8	7166.0
677.7	7087.0
677.6	7276.0
677.5	7323.0
677.4	7211.0
677.3	7350.0
677.2	7199.0
677.1	7190.0
677.0	7225.0
676.9	7289.0
676.8	7370.0
676.7	7424.0
676.6	7249.0
676.5	7221.0
676.4	7212.0
676.3	7330.0
676.2	7488.0
676.1	7313.0
676.0	7291.0
675.9	7197.0
675.8	7220.0
675.7	7234.0
675.6	7267.0
675.5	7348.0
675.4	7243.0
675.3	7295.0
675.2	7246.0
675.1	7223.0
675.0	7237.0
