BE/eV	PE: 20.0 eV
540.0	9423.0
539.9	9507.0
539.8	9428.0
539.7	9537.0
539.6	9341.0
539.5	9530.0
539.4	9609.0
539.3	9447.0
539.2	9378.0
539.1	9441.0
539.0	9406.0
538.9	9357.0
538.8	9543.0
538.7	9571.0
538.6	9467.0
538.5	9431.0
538.4	9391.0
538.3	9438.0
538.2	9309.0
538.1	9328.0
538.0	9458.0
537.9	9511.0
537.8	9388.0
537.7	9415.0
537.6	9393.0
537.5	9425.0
537.4	9289.0
537.3	9451.0
537.2	9508.0
537.1	9454.0
537.0	9379.0
536.9	9574.0
536.8	9506.0
536.7	9442.0
536.6	9482.0
536.5	9552.0
536.4	9487.0
536.3	9541.0
536.2	9443.0
536.1	9563.0
536.0	9597.0
535.9	9379.0
535.8	9378.0
535.7	9500.0
535.6	9478.0
535.5	9654.0
535.4	9488.0
535.3	9644.0
535.2	9553.0
535.1	9676.0
535.0	9661.0
534.9	9626.0
534.8	9609.0
534.7	9589.0
534.6	9642.0
534.5	9650.0
534.4	9648.0
534.3	9672.0
534.2	9939.0
534.1	9940.0
534.0	9961.0
533.9	10088.0
533.8	10155.0
533.7	10249.0
533.6	10302.0
533.5	10462.0
533.4	10492.0
533.3	10639.0
533.2	10820.0
533.1	10922.0
533.0	10960.0
532.9	11174.0
532.8	11323.0
532.7	11327.0
532.6	11528.0
532.5	11375.0
532.4	11583.0
532.3	11752.0
532.2	11575.0
532.1	11685.0
532.0	11766.0
531.9	11873.0
531.8	11906.0
531.7	11719.0
531.6	11671.0
531.5	11753.0
531.4	11728.0
531.3	11620.0
531.2	11543.0
531.1	11321.0
531.0	11172.0
530.9	11199.0
530.8	11072.0
530.7	10913.0
530.6	10881.0
530.5	10747.0
530.4	10744.0
530.3	10855.0
530.2	10704.0
530.1	10789.0
530.0	11080.0
529.9	11136.0
529.8	11343.0
529.7	11695.0
529.6	12016.0
529.5	12226.0
529.4	12589.0
529.3	12497.0
529.2	12251.0
529.1	11959.0
529.0	11300.0
528.9	10678.0
528.8	10197.0
528.7	9885.0
528.6	9735.0
528.5	9598.0
528.4	9463.0
528.3	9542.0
528.2	9435.0
528.1	9407.0
528.0	9305.0
527.9	9380.0
527.8	9352.0
527.7	9292.0
527.6	9291.0
527.5	9297.0
527.4	9071.0
527.3	9181.0
527.2	9107.0
527.1	9259.0
527.0	9225.0
526.9	9384.0
526.8	9375.0
526.7	9283.0
526.6	9330.0
526.5	9337.0
526.4	9302.0
526.3	9223.0
526.2	9246.0
526.1	9222.0
526.0	9236.0
525.9	9358.0
525.8	9281.0
525.7	9287.0
525.6	9410.0
525.5	9239.0
525.4	9244.0
525.3	9221.0
525.2	9426.0
525.1	9350.0
525.0	9306.0
