BE/eV	PE: 20.0 eV
579.0	10364.0
578.9	10379.0
578.8	10447.0
578.7	10233.0
578.6	10463.0
578.5	10627.0
578.4	10605.0
578.3	10418.0
578.2	10526.0
578.1	10526.0
578.0	10519.0
577.9	10429.0
577.8	10401.0
577.7	10365.0
577.6	10367.0
577.5	10479.0
577.4	10470.0
577.3	10537.0
577.2	10371.0
577.1	10363.0
577.0	10408.0
576.9	10484.0
576.8	10295.0
576.7	10298.0
576.6	10522.0
576.5	10423.0
576.4	10475.0
576.3	10372.0
576.2	10503.0
576.1	10534.0
576.0	10297.0
575.9	10474.0
575.8	10494.0
575.7	10644.0
575.6	10421.0
575.5	10313.0
575.4	10370.0
575.3	10402.0
575.2	10482.0
575.1	10537.0
575.0	10322.0
574.9	10243.0
574.8	10449.0
574.7	10483.0
574.6	10487.0
574.5	10365.0
574.4	10328.0
574.3	10567.0
574.2	10528.0
574.1	10482.0
574.0	10518.0
573.9	10327.0
573.8	10375.0
573.7	10435.0
573.6	10317.0
573.5	10438.0
573.4	10548.0
573.3	10440.0
573.2	10393.0
573.1	10388.0
573.0	10352.0
572.9	10254.0
572.8	10356.0
572.7	10389.0
572.6	10511.0
572.5	10425.0
572.4	10393.0
572.3	10418.0
572.2	10374.0
572.1	10326.0
572.0	10386.0
571.9	10349.0
571.8	10366.0
571.7	10455.0
571.6	10380.0
571.5	10451.0
571.4	10218.0
571.3	10511.0
571.2	10277.0
571.1	10263.0
571.0	10397.0
570.9	10384.0
570.8	10449.0
570.7	10327.0
570.6	10197.0
570.5	10476.0
570.4	10364.0
570.3	10363.0
570.2	10312.0
570.1	10285.0
570.0	10299.0
569.9	10242.0
569.8	10342.0
569.7	10368.0
569.6	10335.0
569.5	10215.0
569.4	10344.0
569.3	10509.0
569.2	10364.0
569.1	10215.0
569.0	10292.0
568.9	10257.0
568.8	10322.0
568.7	10439.0
568.6	10554.0
568.5	10438.0
568.4	10423.0
568.3	10325.0
568.2	10339.0
568.1	10414.0
568.0	10391.0
567.9	10462.0
567.8	10442.0
567.7	10535.0
567.6	10403.0
567.5	10413.0
567.4	10321.0
567.3	10332.0
567.2	10590.0
567.1	10546.0
567.0	10680.0
566.9	10572.0
566.8	10389.0
566.7	10516.0
566.6	10569.0
566.5	10552.0
566.4	10594.0
566.3	10614.0
566.2	10697.0
566.1	10570.0
566.0	10510.0
565.9	10537.0
565.8	10566.0
565.7	10515.0
565.6	10589.0
565.5	10544.0
565.4	10648.0
565.3	10593.0
565.2	10675.0
565.1	10740.0
565.0	10771.0
564.9	10816.0
564.8	10599.0
564.7	10723.0
564.6	10880.0
564.5	10812.0
564.4	10979.0
564.3	10835.0
564.2	10717.0
564.1	10996.0
564.0	10946.0
563.9	10873.0
563.8	10924.0
563.7	10859.0
563.6	10939.0
563.5	11013.0
563.4	11221.0
563.3	11103.0
563.2	11034.0
563.1	11032.0
563.0	11262.0
562.9	11162.0
562.8	11021.0
562.7	11235.0
562.6	11364.0
562.5	11278.0
562.4	11285.0
562.3	11155.0
562.2	11117.0
562.1	11263.0
562.0	11242.0
561.9	11235.0
561.8	11382.0
561.7	11241.0
561.6	11144.0
561.5	11254.0
561.4	11213.0
561.3	11125.0
561.2	11126.0
561.1	11133.0
561.0	10923.0
560.9	10921.0
560.8	10946.0
560.7	11043.0
560.6	11109.0
560.5	11016.0
560.4	10970.0
560.3	10698.0
560.2	10614.0
560.1	10746.0
560.0	10714.0
559.9	10683.0
559.8	10763.0
559.7	10508.0
559.6	10527.0
559.5	10600.0
559.4	10464.0
559.3	10324.0
559.2	10613.0
559.1	10519.0
559.0	10426.0
558.9	10475.0
558.8	10426.0
558.7	10419.0
558.6	10343.0
558.5	10157.0
558.4	10324.0
558.3	10287.0
558.2	10222.0
558.1	10304.0
558.0	10225.0
557.9	10159.0
557.8	10107.0
557.7	10009.0
557.6	10047.0
557.5	9998.0
557.4	10002.0
557.3	10015.0
557.2	10120.0
557.1	10107.0
557.0	10059.0
556.9	10030.0
556.8	10133.0
556.7	10083.0
556.6	9965.0
556.5	10076.0
556.4	10054.0
556.3	9985.0
556.2	9941.0
556.1	9978.0
556.0	10000.0
555.9	10128.0
555.8	10120.0
555.7	9915.0
555.6	9995.0
555.5	9862.0
555.4	9963.0
555.3	9995.0
555.2	9987.0
555.1	9910.0
555.0	9917.0
554.9	9999.0
554.8	10031.0
554.7	9962.0
554.6	10027.0
554.5	9979.0
554.4	9993.0
554.3	9962.0
554.2	9870.0
554.1	9964.0
554.0	9929.0
553.9	9887.0
553.8	9869.0
553.7	9880.0
553.6	9882.0
553.5	9884.0
553.4	9969.0
553.3	9959.0
553.2	9954.0
553.1	9879.0
553.0	9816.0
552.9	9752.0
552.8	9822.0
552.7	9848.0
552.6	9903.0
552.5	9945.0
552.4	9953.0
552.3	9968.0
552.2	9913.0
552.1	9922.0
552.0	10001.0
551.9	9809.0
551.8	9782.0
551.7	9666.0
551.6	9740.0
551.5	9780.0
551.4	9681.0
551.3	9739.0
551.2	9748.0
551.1	9841.0
551.0	9719.0
550.9	9863.0
550.8	9936.0
550.7	9765.0
550.6	9849.0
550.5	9818.0
550.4	9917.0
550.3	9870.0
550.2	9720.0
550.1	9701.0
550.0	9747.0
549.9	9697.0
549.8	9761.0
549.7	9796.0
549.6	9760.0
549.5	9809.0
549.4	9879.0
549.3	9833.0
549.2	9937.0
549.1	9784.0
549.0	9645.0
