BE/eV	PE: 160.0 eV
1200.0	36440.0
1199.0	36222.0
1198.0	36472.0
1197.0	36416.0
1196.0	36387.0
1195.0	36525.0
1194.0	36530.0
1193.0	36438.0
1192.0	36789.0
1191.0	36835.0
1190.0	36831.0
1189.0	37040.0
1188.0	36950.0
1187.0	36965.0
1186.0	36945.0
1185.0	37386.0
1184.0	37330.0
1183.0	37354.0
1182.0	37610.0
1181.0	37671.0
1180.0	37594.0
1179.0	37680.0
1178.0	37907.0
1177.0	38191.0
1176.0	38028.0
1175.0	38452.0
1174.0	38472.0
1173.0	38313.0
1172.0	38308.0
1171.0	38618.0
1170.0	38656.0
1169.0	38528.0
1168.0	38540.0
1167.0	38564.0
1166.0	38570.0
1165.0	38748.0
1164.0	38794.0
1163.0	38765.0
1162.0	39039.0
1161.0	39183.0
1160.0	39262.0
1159.0	39348.0
1158.0	39432.0
1157.0	39926.0
1156.0	39869.0
1155.0	39669.0
1154.0	39707.0
1153.0	39990.0
1152.0	39758.0
1151.0	39616.0
1150.0	40228.0
1149.0	40082.0
1148.0	39770.0
1147.0	40052.0
1146.0	40209.0
1145.0	40264.0
1144.0	40101.0
1143.0	40207.0
1142.0	40191.0
1141.0	40092.0
1140.0	40409.0
1139.0	40162.0
1138.0	40614.0
1137.0	40890.0
1136.0	40832.0
1135.0	40936.0
1134.0	41789.0
1133.0	41904.0
1132.0	42036.0
1131.0	41880.0
1130.0	41656.0
1129.0	41686.0
1128.0	41658.0
1127.0	41836.0
1126.0	41972.0
1125.0	42127.0
1124.0	42347.0
1123.0	42250.0
1122.0	42224.0
1121.0	41726.0
1120.0	41622.0
1119.0	41407.0
1118.0	41441.0
1117.0	41362.0
1116.0	41393.0
1115.0	41422.0
1114.0	41564.0
1113.0	41733.0
1112.0	42104.0
1111.0	42101.0
1110.0	42194.0
1109.0	42983.0
1108.0	43212.0
1107.0	43911.0
1106.0	44591.0
1105.0	45270.0
1104.0	45666.0
1103.0	45506.0
1102.0	44839.0
1101.0	43977.0
1100.0	44110.0
1099.0	43745.0
1098.0	42645.0
1097.0	40658.0
1096.0	39318.0
1095.0	38046.0
1094.0	37591.0
1093.0	36945.0
1092.0	36821.0
1091.0	36343.0
1090.0	36047.0
1089.0	35737.0
1088.0	35561.0
1087.0	35702.0
1086.0	35655.0
1085.0	35634.0
1084.0	35438.0
1083.0	35402.0
1082.0	35627.0
1081.0	35567.0
1080.0	35609.0
1079.0	35342.0
1078.0	35385.0
1077.0	35883.0
1076.0	36096.0
1075.0	36187.0
1074.0	36240.0
1073.0	36830.0
1072.0	37717.0
1071.0	38457.0
1070.0	38968.0
1069.0	39071.0
1068.0	38515.0
1067.0	38198.0
1066.0	38047.0
1065.0	37020.0
1064.0	35741.0
1063.0	34908.0
1062.0	34681.0
1061.0	34369.0
1060.0	34448.0
1059.0	34272.0
1058.0	34114.0
1057.0	34174.0
1056.0	33861.0
1055.0	34124.0
1054.0	34492.0
1053.0	34222.0
1052.0	34353.0
1051.0	33918.0
1050.0	34004.0
1049.0	34178.0
1048.0	34574.0
1047.0	34355.0
1046.0	34409.0
1045.0	34422.0
1044.0	34280.0
1043.0	34494.0
1042.0	34663.0
1041.0	34664.0
1040.0	34691.0
1039.0	34856.0
1038.0	34895.0
1037.0	35460.0
1036.0	35325.0
1035.0	35562.0
1034.0	35272.0
1033.0	35094.0
1032.0	35252.0
1031.0	34731.0
1030.0	35083.0
1029.0	35003.0
1028.0	34911.0
1027.0	35253.0
1026.0	35408.0
1025.0	35302.0
1024.0	35027.0
1023.0	35361.0
1022.0	35395.0
1021.0	35568.0
1020.0	35534.0
1019.0	35732.0
1018.0	35743.0
1017.0	35713.0
1016.0	35694.0
1015.0	35867.0
1014.0	36055.0
1013.0	35547.0
1012.0	35831.0
1011.0	36030.0
1010.0	36006.0
1009.0	35953.0
1008.0	35955.0
1007.0	36032.0
1006.0	36086.0
1005.0	36343.0
1004.0	36260.0
1003.0	36782.0
1002.0	36844.0
1001.0	36916.0
1000.0	36917.0
999.0	36935.0
998.0	37231.0
997.0	37035.0
996.0	37043.0
995.0	37154.0
994.0	37351.0
993.0	37508.0
992.0	37256.0
991.0	36947.0
990.0	37137.0
989.0	36742.0
988.0	36989.0
987.0	36838.0
986.0	36940.0
985.0	37206.0
984.0	36912.0
983.0	37175.0
982.0	37239.0
981.0	37273.0
980.0	37356.0
979.0	37888.0
978.0	38036.0
977.0	38926.0
976.0	39458.0
975.0	39428.0
974.0	39804.0
973.0	40516.0
972.0	40631.0
971.0	39717.0
970.0	38325.0
969.0	37385.0
968.0	36886.0
967.0	36657.0
966.0	36558.0
965.0	36011.0
964.0	35679.0
963.0	35829.0
962.0	35653.0
961.0	35672.0
960.0	35499.0
959.0	35550.0
958.0	35632.0
957.0	35999.0
956.0	35577.0
955.0	35606.0
954.0	35982.0
953.0	35978.0
952.0	35869.0
951.0	35812.0
950.0	36076.0
949.0	35943.0
948.0	35819.0
947.0	35798.0
946.0	35958.0
945.0	35711.0
944.0	36109.0
943.0	36052.0
942.0	36025.0
941.0	36124.0
940.0	36080.0
939.0	36164.0
938.0	36134.0
937.0	36395.0
936.0	36409.0
935.0	36439.0
934.0	36537.0
933.0	36888.0
932.0	36915.0
931.0	36703.0
930.0	36387.0
929.0	36487.0
928.0	36554.0
927.0	36545.0
926.0	36847.0
925.0	36809.0
