BE/eV	PE: 20.0 eV
695.0	7955.0
694.9	8189.0
694.8	8097.0
694.7	8056.0
694.6	7951.0
694.5	8013.0
694.4	8143.0
694.3	8133.0
694.2	8120.0
694.1	8098.0
694.0	7987.0
693.9	8147.0
693.8	8207.0
693.7	8067.0
693.6	8127.0
693.5	8114.0
693.4	7997.0
693.3	8031.0
693.2	8098.0
693.1	8123.0
693.0	8024.0
692.9	8005.0
692.8	8119.0
692.7	8184.0
692.6	8167.0
692.5	8019.0
692.4	8094.0
692.3	8062.0
692.2	8167.0
692.1	8190.0
692.0	8038.0
691.9	7999.0
691.8	8003.0
691.7	8066.0
691.6	8155.0
691.5	8162.0
691.4	8071.0
691.3	8115.0
691.2	7963.0
691.1	8056.0
691.0	8015.0
690.9	8118.0
690.8	8070.0
690.7	8073.0
690.6	8041.0
690.5	8099.0
690.4	8044.0
690.3	8165.0
690.2	8095.0
690.1	8153.0
690.0	8128.0
689.9	8113.0
689.8	8170.0
689.7	8108.0
689.6	8076.0
689.5	8080.0
689.4	8231.0
689.3	8182.0
689.2	8162.0
689.1	8187.0
689.0	8113.0
688.9	8130.0
688.8	8064.0
688.7	8213.0
688.6	8240.0
688.5	8082.0
688.4	7984.0
688.3	8037.0
688.2	8171.0
688.1	8171.0
688.0	8162.0
687.9	8165.0
687.8	8176.0
687.7	8241.0
687.6	8241.0
687.5	8210.0
687.4	8364.0
687.3	8348.0
687.2	8286.0
687.1	8370.0
687.0	8435.0
686.9	8438.0
686.8	8330.0
686.7	8266.0
686.6	8392.0
686.5	8552.0
686.4	8465.0
686.3	8550.0
686.2	8457.0
686.1	8741.0
686.0	8717.0
685.9	8742.0
685.8	8863.0
685.7	9001.0
685.6	9268.0
685.5	9172.0
685.4	9202.0
685.3	9533.0
685.2	9846.0
685.1	10369.0
685.0	10822.0
684.9	11136.0
684.8	11781.0
684.7	12137.0
684.6	12390.0
684.5	12662.0
684.4	12299.0
684.3	12053.0
684.2	11585.0
684.1	10980.0
684.0	10241.0
683.9	9762.0
683.8	9384.0
683.7	8978.0
683.6	8712.0
683.5	8678.0
683.4	8503.0
683.3	8379.0
683.2	8282.0
683.1	8225.0
683.0	8262.0
682.9	8093.0
682.8	8086.0
682.7	7990.0
682.6	8070.0
682.5	7976.0
682.4	7924.0
682.3	8151.0
682.2	8189.0
682.1	8006.0
682.0	8087.0
681.9	8070.0
681.8	8052.0
681.7	7992.0
681.6	7992.0
681.5	7937.0
681.4	7976.0
681.3	8034.0
681.2	7925.0
681.1	7946.0
681.0	8058.0
680.9	8098.0
680.8	8068.0
680.7	8029.0
680.6	8070.0
680.5	8100.0
680.4	8005.0
680.3	7926.0
680.2	7893.0
680.1	8014.0
680.0	7855.0
679.9	7812.0
679.8	7942.0
679.7	8034.0
679.6	8037.0
679.5	8043.0
679.4	8075.0
679.3	8072.0
679.2	7987.0
679.1	8065.0
679.0	7985.0
678.9	7928.0
678.8	8007.0
678.7	7987.0
678.6	7981.0
678.5	7947.0
678.4	7922.0
678.3	7957.0
678.2	7934.0
678.1	7912.0
678.0	7893.0
677.9	7824.0
677.8	7843.0
677.7	8004.0
677.6	7923.0
677.5	7816.0
677.4	8024.0
677.3	8021.0
677.2	7963.0
677.1	7978.0
677.0	7986.0
676.9	8027.0
676.8	8034.0
676.7	7991.0
676.6	8031.0
676.5	8107.0
676.4	8009.0
676.3	8074.0
676.2	7993.0
676.1	7966.0
676.0	8117.0
675.9	8014.0
675.8	8056.0
675.7	7963.0
675.6	8018.0
675.5	8063.0
675.4	7917.0
675.3	7948.0
675.2	7976.0
675.1	8057.0
675.0	8105.0
