BE/eV	PE: 160.0 eV
1200.0	43756.0
1199.0	43858.0
1198.0	43601.0
1197.0	43994.0
1196.0	43846.0
1195.0	44050.0
1194.0	44375.0
1193.0	44156.0
1192.0	44320.0
1191.0	44507.0
1190.0	44359.0
1189.0	44676.0
1188.0	44565.0
1187.0	44753.0
1186.0	44993.0
1185.0	45084.0
1184.0	44909.0
1183.0	45140.0
1182.0	45487.0
1181.0	45483.0
1180.0	45782.0
1179.0	45677.0
1178.0	45755.0
1177.0	45534.0
1176.0	46011.0
1175.0	46271.0
1174.0	46372.0
1173.0	46533.0
1172.0	46277.0
1171.0	46339.0
1170.0	46431.0
1169.0	46715.0
1168.0	46770.0
1167.0	46876.0
1166.0	46970.0
1165.0	46960.0
1164.0	47319.0
1163.0	47283.0
1162.0	47526.0
1161.0	47729.0
1160.0	47828.0
1159.0	47285.0
1158.0	47998.0
1157.0	48129.0
1156.0	48553.0
1155.0	48445.0
1154.0	48767.0
1153.0	48856.0
1152.0	48780.0
1151.0	48766.0
1150.0	48835.0
1149.0	48927.0
1148.0	48772.0
1147.0	48488.0
1146.0	48735.0
1145.0	49125.0
1144.0	49054.0
1143.0	49083.0
1142.0	49137.0
1141.0	48873.0
1140.0	48604.0
1139.0	49352.0
1138.0	49581.0
1137.0	49429.0
1136.0	49832.0
1135.0	50467.0
1134.0	51081.0
1133.0	50906.0
1132.0	51240.0
1131.0	51221.0
1130.0	51257.0
1129.0	51039.0
1128.0	51148.0
1127.0	51114.0
1126.0	51564.0
1125.0	51879.0
1124.0	52242.0
1123.0	51990.0
1122.0	51402.0
1121.0	51184.0
1120.0	50992.0
1119.0	50737.0
1118.0	50339.0
1117.0	50384.0
1116.0	50633.0
1115.0	50600.0
1114.0	50605.0
1113.0	50758.0
1112.0	51496.0
1111.0	51870.0
1110.0	52028.0
1109.0	52716.0
1108.0	53426.0
1107.0	54198.0
1106.0	55087.0
1105.0	56260.0
1104.0	56726.0
1103.0	56629.0
1102.0	55999.0
1101.0	54447.0
1100.0	54538.0
1099.0	54012.0
1098.0	52315.0
1097.0	49504.0
1096.0	46451.0
1095.0	44957.0
1094.0	44092.0
1093.0	43405.0
1092.0	42854.0
1091.0	42451.0
1090.0	42299.0
1089.0	41613.0
1088.0	41615.0
1087.0	41433.0
1086.0	41254.0
1085.0	41409.0
1084.0	41419.0
1083.0	41108.0
1082.0	40919.0
1081.0	40962.0
1080.0	41006.0
1079.0	41198.0
1078.0	41607.0
1077.0	41775.0
1076.0	41924.0
1075.0	42125.0
1074.0	42435.0
1073.0	43052.0
1072.0	43855.0
1071.0	45394.0
1070.0	46064.0
1069.0	46273.0
1068.0	46176.0
1067.0	45419.0
1066.0	44858.0
1065.0	43697.0
1064.0	41545.0
1063.0	40194.0
1062.0	39148.0
1061.0	38982.0
1060.0	38914.0
1059.0	38535.0
1058.0	38495.0
1057.0	38506.0
1056.0	38253.0
1055.0	38311.0
1054.0	38545.0
1053.0	38560.0
1052.0	38643.0
1051.0	38545.0
1050.0	38281.0
1049.0	38527.0
1048.0	38378.0
1047.0	38780.0
1046.0	38522.0
1045.0	38635.0
1044.0	39004.0
1043.0	38871.0
1042.0	38957.0
1041.0	38955.0
1040.0	39492.0
1039.0	39372.0
1038.0	39390.0
1037.0	39982.0
1036.0	39741.0
1035.0	39796.0
1034.0	39811.0
1033.0	39420.0
1032.0	39195.0
1031.0	39246.0
1030.0	39326.0
1029.0	39328.0
1028.0	39391.0
1027.0	39283.0
1026.0	39677.0
1025.0	39354.0
1024.0	39465.0
1023.0	39490.0
1022.0	39510.0
1021.0	39649.0
1020.0	39971.0
1019.0	39602.0
1018.0	39841.0
1017.0	39847.0
1016.0	39781.0
1015.0	39732.0
1014.0	39970.0
1013.0	40049.0
1012.0	40238.0
1011.0	40135.0
1010.0	40045.0
1009.0	40281.0
1008.0	40298.0
1007.0	40382.0
1006.0	40413.0
1005.0	40332.0
1004.0	40854.0
1003.0	40795.0
1002.0	40616.0
1001.0	40768.0
1000.0	40903.0
999.0	41160.0
998.0	41201.0
997.0	41198.0
996.0	41318.0
995.0	41344.0
994.0	41589.0
993.0	41708.0
992.0	41892.0
991.0	41483.0
990.0	41575.0
989.0	41240.0
988.0	41072.0
987.0	41078.0
986.0	41348.0
985.0	41296.0
984.0	41109.0
983.0	41050.0
982.0	41252.0
981.0	41283.0
980.0	41932.0
979.0	42250.0
978.0	42639.0
977.0	42879.0
976.0	43144.0
975.0	43936.0
974.0	44387.0
973.0	45070.0
972.0	45743.0
971.0	44785.0
970.0	42854.0
969.0	41375.0
968.0	40328.0
967.0	40487.0
966.0	40403.0
965.0	39957.0
964.0	39703.0
963.0	39697.0
962.0	39962.0
961.0	39706.0
960.0	39791.0
959.0	39627.0
958.0	39992.0
957.0	39624.0
956.0	39702.0
955.0	40201.0
954.0	39841.0
953.0	39867.0
952.0	39802.0
951.0	39892.0
950.0	39861.0
949.0	40061.0
948.0	40106.0
947.0	40027.0
946.0	40333.0
945.0	40161.0
944.0	40298.0
943.0	40517.0
942.0	40243.0
941.0	40110.0
940.0	40387.0
939.0	40275.0
938.0	40138.0
937.0	40427.0
936.0	40486.0
935.0	40561.0
934.0	40392.0
933.0	40732.0
932.0	40804.0
931.0	40778.0
930.0	40586.0
929.0	40679.0
928.0	41193.0
927.0	40888.0
926.0	40614.0
925.0	40907.0
924.0	41142.0
923.0	41189.0
922.0	41458.0
921.0	41620.0
920.0	41543.0
919.0	41456.0
918.0	41418.0
917.0	41571.0
916.0	41485.0
915.0	41541.0
914.0	41383.0
913.0	41501.0
912.0	41815.0
911.0	41666.0
910.0	41849.0
909.0	41928.0
908.0	41805.0
907.0	42113.0
906.0	41926.0
905.0	42048.0
904.0	42033.0
903.0	42386.0
902.0	42117.0
901.0	42167.0
900.0	42115.0
899.0	42048.0
898.0	42030.0
897.0	42367.0
896.0	42509.0
895.0	42354.0
894.0	42684.0
893.0	42476.0
892.0	42501.0
891.0	42816.0
