BE/eV	PE: 20.0 eV
540.0	10439.0
539.9	10357.0
539.8	10366.0
539.7	10444.0
539.6	10460.0
539.5	10569.0
539.4	10529.0
539.3	10275.0
539.2	10426.0
539.1	10528.0
539.0	10216.0
538.9	10340.0
538.8	10493.0
538.7	10366.0
538.6	10358.0
538.5	10336.0
538.4	10338.0
538.3	10309.0
538.2	10508.0
538.1	10444.0
538.0	10337.0
537.9	10354.0
537.8	10340.0
537.7	10361.0
537.6	10448.0
537.5	10473.0
537.4	10369.0
537.3	10430.0
537.2	10417.0
537.1	10319.0
537.0	10247.0
536.9	10240.0
536.8	10316.0
536.7	10397.0
536.6	10492.0
536.5	10318.0
536.4	10259.0
536.3	10239.0
536.2	10274.0
536.1	10344.0
536.0	10504.0
535.9	10414.0
535.8	10340.0
535.7	10459.0
535.6	10423.0
535.5	10378.0
535.4	10326.0
535.3	10389.0
535.2	10586.0
535.1	10436.0
535.0	10596.0
534.9	10434.0
534.8	10374.0
534.7	10341.0
534.6	10448.0
534.5	10510.0
534.4	10426.0
534.3	10588.0
534.2	10652.0
534.1	10673.0
534.0	10835.0
533.9	10940.0
533.8	10944.0
533.7	11097.0
533.6	11098.0
533.5	11139.0
533.4	11354.0
533.3	11406.0
533.2	11707.0
533.1	11900.0
533.0	11761.0
532.9	11924.0
532.8	12190.0
532.7	12097.0
532.6	12382.0
532.5	12479.0
532.4	12345.0
532.3	12480.0
532.2	12609.0
532.1	12572.0
532.0	12377.0
531.9	12662.0
531.8	12805.0
531.7	12607.0
531.6	12809.0
531.5	12745.0
531.4	12620.0
531.3	12751.0
531.2	12718.0
531.1	12547.0
531.0	12297.0
530.9	12392.0
530.8	12133.0
530.7	11979.0
530.6	11958.0
530.5	11952.0
530.4	11908.0
530.3	11807.0
530.2	11806.0
530.1	11966.0
530.0	12191.0
529.9	12251.0
529.8	12435.0
529.7	12733.0
529.6	13191.0
529.5	13535.0
529.4	14168.0
529.3	14801.0
529.2	14866.0
529.1	14677.0
529.0	14294.0
528.9	13207.0
528.8	12519.0
528.7	11853.0
528.6	11462.0
528.5	11048.0
528.4	10648.0
528.3	10579.0
528.2	10478.0
528.1	10196.0
528.0	10243.0
527.9	10254.0
527.8	10290.0
527.7	10217.0
527.6	10168.0
527.5	10202.0
527.4	10254.0
527.3	10366.0
527.2	10199.0
527.1	10074.0
527.0	10156.0
526.9	10075.0
526.8	9994.0
526.7	10058.0
526.6	10184.0
526.5	10262.0
526.4	10199.0
526.3	10166.0
526.2	10023.0
526.1	10232.0
526.0	10092.0
525.9	10142.0
525.8	10175.0
525.7	10014.0
525.6	10163.0
525.5	10245.0
525.4	10330.0
525.3	10349.0
525.2	10313.0
525.1	10123.0
525.0	10187.0
