BE/eV	PE: 20.0 eV
540.0	7866.0
539.9	7990.0
539.8	8033.0
539.7	8043.0
539.6	8037.0
539.5	8102.0
539.4	7958.0
539.3	8052.0
539.2	7982.0
539.1	8066.0
539.0	8056.0
538.9	8042.0
538.8	7910.0
538.7	8026.0
538.6	7940.0
538.5	8118.0
538.4	8021.0
538.3	8000.0
538.2	7835.0
538.1	8092.0
538.0	8061.0
537.9	8036.0
537.8	7957.0
537.7	8093.0
537.6	8099.0
537.5	7938.0
537.4	7976.0
537.3	8060.0
537.2	8048.0
537.1	8148.0
537.0	7977.0
536.9	7949.0
536.8	7945.0
536.7	7930.0
536.6	8015.0
536.5	8218.0
536.4	8033.0
536.3	8115.0
536.2	8034.0
536.1	7961.0
536.0	7961.0
535.9	8026.0
535.8	8006.0
535.7	8139.0
535.6	8110.0
535.5	8129.0
535.4	8128.0
535.3	8106.0
535.2	8308.0
535.1	8230.0
535.0	8245.0
534.9	8225.0
534.8	8186.0
534.7	8271.0
534.6	8202.0
534.5	8367.0
534.4	8397.0
534.3	8313.0
534.2	8483.0
534.1	8522.0
534.0	8699.0
533.9	8858.0
533.8	9084.0
533.7	9327.0
533.6	9296.0
533.5	9703.0
533.4	9786.0
533.3	10145.0
533.2	10565.0
533.1	10783.0
533.0	11039.0
532.9	11416.0
532.8	11764.0
532.7	12061.0
532.6	12379.0
532.5	12508.0
532.4	12490.0
532.3	12735.0
532.2	12807.0
532.1	12822.0
532.0	12624.0
531.9	12544.0
531.8	12428.0
531.7	12182.0
531.6	11909.0
531.5	11663.0
531.4	11479.0
531.3	11242.0
531.2	10875.0
531.1	10403.0
531.0	10279.0
530.9	9998.0
530.8	9588.0
530.7	9348.0
530.6	9219.0
530.5	8928.0
530.4	8717.0
530.3	8471.0
530.2	8533.0
530.1	8425.0
530.0	8363.0
529.9	8284.0
529.8	8203.0
529.7	8041.0
529.6	7997.0
529.5	8171.0
529.4	7961.0
529.3	7992.0
529.2	8002.0
529.1	8047.0
529.0	7930.0
528.9	7964.0
528.8	7886.0
528.7	7992.0
528.6	7991.0
528.5	7972.0
528.4	7961.0
528.3	7876.0
528.2	7809.0
528.1	7868.0
528.0	7964.0
527.9	7917.0
527.8	7834.0
527.7	7890.0
527.6	7921.0
527.5	7970.0
527.4	8051.0
527.3	8051.0
527.2	7970.0
527.1	7896.0
527.0	7855.0
526.9	8041.0
526.8	7969.0
526.7	7824.0
526.6	7820.0
526.5	7902.0
526.4	7922.0
526.3	8022.0
526.2	7966.0
526.1	7860.0
526.0	7892.0
525.9	7943.0
525.8	7904.0
525.7	7833.0
525.6	7725.0
525.5	7722.0
525.4	7907.0
525.3	7891.0
525.2	7872.0
525.1	7833.0
525.0	7838.0
