BE/eV	PE: 20.0 eV
579.0	7970.0
578.9	7933.0
578.8	7924.0
578.7	8052.0
578.6	8111.0
578.5	8164.0
578.4	8085.0
578.3	8126.0
578.2	7933.0
578.1	8056.0
578.0	8039.0
577.9	8056.0
577.8	8115.0
577.7	7926.0
577.6	8054.0
577.5	8154.0
577.4	8008.0
577.3	7998.0
577.2	8071.0
577.1	7961.0
577.0	8100.0
576.9	8069.0
576.8	8161.0
576.7	8102.0
576.6	8119.0
576.5	8169.0
576.4	8167.0
576.3	8051.0
576.2	8109.0
576.1	7998.0
576.0	8039.0
575.9	7988.0
575.8	8177.0
575.7	8042.0
575.6	8082.0
575.5	8071.0
575.4	7997.0
575.3	7978.0
575.2	8195.0
575.1	8090.0
575.0	7935.0
574.9	7966.0
574.8	8046.0
574.7	7969.0
574.6	8001.0
574.5	8056.0
574.4	7954.0
574.3	8001.0
574.2	7924.0
574.1	8038.0
574.0	8137.0
573.9	7968.0
573.8	8085.0
573.7	8054.0
573.6	8099.0
573.5	8117.0
573.4	7978.0
573.3	8098.0
573.2	8045.0
573.1	7936.0
573.0	7917.0
572.9	8087.0
572.8	8044.0
572.7	8077.0
572.6	8024.0
572.5	8095.0
572.4	8088.0
572.3	8144.0
572.2	8129.0
572.1	8160.0
572.0	8153.0
571.9	8062.0
571.8	8084.0
571.7	8036.0
571.6	7947.0
571.5	8012.0
571.4	8095.0
571.3	8016.0
571.2	7983.0
571.1	8047.0
571.0	8174.0
570.9	8003.0
570.8	8014.0
570.7	8014.0
570.6	8032.0
570.5	8086.0
570.4	8056.0
570.3	8079.0
570.2	8127.0
570.1	8128.0
570.0	8035.0
569.9	7989.0
569.8	8074.0
569.7	8186.0
569.6	8066.0
569.5	7941.0
569.4	8071.0
569.3	8009.0
569.2	8020.0
569.1	8186.0
569.0	8199.0
568.9	8104.0
568.8	8195.0
568.7	8070.0
568.6	8127.0
568.5	8015.0
568.4	7964.0
568.3	8032.0
568.2	8080.0
568.1	8057.0
568.0	8200.0
567.9	8054.0
567.8	7961.0
567.7	8130.0
567.6	8109.0
567.5	8052.0
567.4	7991.0
567.3	8050.0
567.2	8075.0
567.1	8039.0
567.0	8071.0
566.9	8117.0
566.8	8133.0
566.7	8153.0
566.6	7884.0
566.5	8015.0
566.4	8057.0
566.3	8018.0
566.2	8119.0
566.1	8163.0
566.0	8102.0
565.9	8055.0
565.8	8052.0
565.7	8029.0
565.6	8015.0
565.5	7981.0
565.4	8008.0
565.3	8038.0
565.2	7991.0
565.1	8037.0
565.0	8000.0
564.9	8050.0
564.8	8089.0
564.7	8064.0
564.6	8043.0
564.5	7952.0
564.4	8098.0
564.3	8143.0
564.2	8191.0
564.1	8134.0
564.0	8093.0
563.9	8130.0
563.8	8059.0
563.7	8135.0
563.6	8145.0
563.5	8181.0
563.4	8078.0
563.3	8115.0
563.2	8219.0
563.1	8156.0
563.0	8099.0
562.9	8151.0
562.8	8141.0
562.7	8119.0
562.6	8279.0
562.5	8282.0
562.4	8126.0
562.3	8062.0
562.2	8141.0
562.1	8134.0
562.0	8050.0
561.9	8164.0
561.8	8079.0
561.7	8156.0
561.6	7982.0
561.5	8103.0
561.4	8054.0
561.3	8169.0
561.2	8209.0
561.1	8227.0
561.0	8140.0
560.9	8025.0
560.8	8111.0
560.7	8158.0
560.6	8300.0
560.5	7969.0
560.4	7895.0
560.3	8093.0
560.2	8229.0
560.1	8153.0
560.0	7989.0
559.9	8123.0
559.8	8166.0
559.7	8193.0
559.6	8180.0
559.5	8126.0
559.4	8169.0
559.3	8156.0
559.2	8116.0
559.1	8176.0
559.0	8213.0
558.9	8158.0
558.8	8100.0
558.7	8171.0
558.6	8146.0
558.5	8205.0
558.4	8160.0
558.3	8189.0
558.2	8220.0
558.1	8147.0
558.0	8203.0
557.9	8237.0
557.8	8232.0
557.7	8126.0
557.6	8112.0
557.5	8185.0
557.4	8274.0
557.3	8067.0
557.2	8123.0
557.1	8164.0
557.0	8117.0
556.9	8102.0
556.8	8227.0
556.7	8203.0
556.6	8281.0
556.5	8219.0
556.4	8159.0
556.3	8233.0
556.2	8216.0
556.1	8263.0
556.0	8185.0
555.9	8059.0
555.8	8160.0
555.7	8152.0
555.6	8137.0
555.5	8137.0
555.4	8070.0
555.3	8223.0
555.2	8241.0
555.1	8161.0
555.0	8125.0
554.9	8154.0
554.8	8089.0
554.7	8072.0
554.6	8245.0
554.5	8110.0
554.4	8085.0
554.3	8172.0
554.2	8193.0
554.1	8277.0
554.0	8151.0
553.9	8133.0
553.8	8102.0
553.7	8081.0
553.6	8150.0
553.5	8243.0
553.4	8214.0
553.3	8050.0
553.2	8177.0
553.1	8150.0
553.0	8155.0
552.9	8033.0
552.8	8026.0
552.7	8153.0
552.6	8181.0
552.5	8080.0
552.4	8196.0
552.3	8262.0
552.2	8193.0
552.1	8107.0
552.0	8203.0
551.9	8112.0
551.8	8092.0
551.7	8108.0
551.6	8132.0
551.5	8209.0
551.4	8200.0
551.3	8152.0
551.2	8133.0
551.1	8249.0
551.0	8160.0
550.9	8194.0
550.8	8151.0
550.7	8120.0
550.6	8128.0
550.5	8106.0
550.4	8073.0
550.3	8191.0
550.2	8092.0
550.1	8133.0
550.0	8246.0
549.9	8165.0
549.8	8074.0
549.7	8106.0
549.6	8087.0
549.5	8123.0
549.4	8055.0
549.3	7944.0
549.2	8056.0
549.1	7876.0
549.0	7941.0
