BE/eV	PE: 160.0 eV
1200.0	21098.0
1199.0	21169.0
1198.0	20893.0
1197.0	20854.0
1196.0	20900.0
1195.0	20891.0
1194.0	20907.0
1193.0	20977.0
1192.0	20854.0
1191.0	20967.0
1190.0	21226.0
1189.0	21313.0
1188.0	21078.0
1187.0	21025.0
1186.0	20958.0
1185.0	21026.0
1184.0	20968.0
1183.0	21178.0
1182.0	21222.0
1181.0	21389.0
1180.0	21153.0
1179.0	21236.0
1178.0	21183.0
1177.0	21537.0
1176.0	21459.0
1175.0	21537.0
1174.0	21512.0
1173.0	21566.0
1172.0	21572.0
1171.0	21869.0
1170.0	22012.0
1169.0	21729.0
1168.0	21672.0
1167.0	21864.0
1166.0	21849.0
1165.0	21713.0
1164.0	22069.0
1163.0	21968.0
1162.0	21841.0
1161.0	21874.0
1160.0	21900.0
1159.0	21874.0
1158.0	21810.0
1157.0	21959.0
1156.0	21867.0
1155.0	21889.0
1154.0	21821.0
1153.0	22007.0
1152.0	21929.0
1151.0	22101.0
1150.0	22078.0
1149.0	22157.0
1148.0	22134.0
1147.0	22142.0
1146.0	22136.0
1145.0	22367.0
1144.0	22251.0
1143.0	22334.0
1142.0	22385.0
1141.0	22318.0
1140.0	22345.0
1139.0	22342.0
1138.0	22330.0
1137.0	22320.0
1136.0	22269.0
1135.0	22267.0
1134.0	22453.0
1133.0	22350.0
1132.0	22594.0
1131.0	22739.0
1130.0	22506.0
1129.0	22415.0
1128.0	22582.0
1127.0	22677.0
1126.0	22698.0
1125.0	22729.0
1124.0	22707.0
1123.0	22768.0
1122.0	22740.0
1121.0	22830.0
1120.0	22839.0
1119.0	22918.0
1118.0	22977.0
1117.0	23058.0
1116.0	23125.0
1115.0	22937.0
1114.0	23077.0
1113.0	23301.0
1112.0	23221.0
1111.0	23180.0
1110.0	23275.0
1109.0	23069.0
1108.0	23519.0
1107.0	23490.0
1106.0	23416.0
1105.0	23606.0
1104.0	23497.0
1103.0	23190.0
1102.0	23455.0
1101.0	23432.0
1100.0	23589.0
1099.0	23351.0
1098.0	23445.0
1097.0	23629.0
1096.0	23745.0
1095.0	23496.0
1094.0	23493.0
1093.0	23596.0
1092.0	23854.0
1091.0	23796.0
1090.0	23867.0
1089.0	23484.0
1088.0	23719.0
1087.0	23900.0
1086.0	24023.0
1085.0	23968.0
1084.0	23914.0
1083.0	23971.0
1082.0	24174.0
1081.0	24190.0
1080.0	24006.0
1079.0	23740.0
1078.0	24034.0
1077.0	24090.0
1076.0	23995.0
1075.0	24249.0
1074.0	24434.0
1073.0	24652.0
1072.0	24429.0
1071.0	25017.0
1070.0	24844.0
1069.0	24387.0
1068.0	24289.0
1067.0	24553.0
1066.0	24628.0
1065.0	24542.0
1064.0	24782.0
1063.0	24662.0
1062.0	24769.0
1061.0	24601.0
1060.0	24990.0
1059.0	24910.0
1058.0	24738.0
1057.0	24679.0
1056.0	25003.0
1055.0	24810.0
1054.0	24901.0
1053.0	25106.0
1052.0	25155.0
1051.0	25109.0
1050.0	25175.0
1049.0	25150.0
1048.0	25269.0
1047.0	25345.0
1046.0	25163.0
1045.0	25309.0
1044.0	25291.0
1043.0	25387.0
1042.0	25523.0
1041.0	25592.0
1040.0	25747.0
1039.0	25660.0
1038.0	25717.0
1037.0	25785.0
1036.0	25844.0
1035.0	25650.0
1034.0	25971.0
1033.0	26119.0
1032.0	25813.0
1031.0	26092.0
1030.0	26231.0
1029.0	26382.0
1028.0	26327.0
1027.0	26538.0
1026.0	26410.0
1025.0	26549.0
1024.0	26556.0
1023.0	26479.0
1022.0	26644.0
1021.0	26727.0
1020.0	27161.0
1019.0	27061.0
1018.0	26937.0
1017.0	27038.0
1016.0	27032.0
1015.0	27247.0
1014.0	27260.0
1013.0	27180.0
1012.0	27217.0
1011.0	27069.0
1010.0	27313.0
1009.0	27513.0
1008.0	27431.0
1007.0	27754.0
1006.0	27935.0
1005.0	28149.0
1004.0	28377.0
1003.0	28195.0
1002.0	28426.0
1001.0	28894.0
1000.0	28928.0
999.0	28811.0
998.0	28672.0
997.0	28861.0
996.0	28916.0
995.0	28687.0
994.0	28873.0
993.0	28515.0
992.0	28624.0
991.0	28559.0
990.0	28414.0
989.0	28238.0
988.0	28538.0
987.0	28537.0
986.0	28502.0
985.0	28497.0
984.0	28751.0
983.0	28910.0
982.0	29376.0
981.0	29927.0
980.0	29973.0
979.0	30543.0
978.0	31066.0
977.0	31267.0
976.0	31454.0
975.0	31400.0
974.0	31065.0
973.0	30870.0
972.0	30497.0
971.0	30055.0
970.0	29615.0
969.0	29170.0
968.0	28582.0
967.0	27918.0
966.0	27379.0
965.0	27071.0
964.0	26913.0
963.0	26771.0
962.0	26598.0
961.0	26646.0
960.0	26721.0
959.0	26537.0
958.0	26553.0
957.0	26570.0
956.0	26668.0
955.0	26614.0
954.0	26648.0
953.0	26900.0
952.0	26719.0
951.0	26726.0
950.0	26542.0
949.0	26710.0
948.0	27127.0
947.0	27088.0
946.0	26912.0
945.0	26831.0
944.0	26581.0
943.0	26889.0
942.0	26977.0
941.0	26911.0
940.0	26910.0
939.0	27099.0
938.0	27222.0
937.0	27100.0
936.0	27208.0
935.0	27011.0
934.0	27082.0
933.0	27222.0
932.0	27428.0
931.0	27032.0
930.0	27058.0
929.0	27324.0
928.0	27346.0
927.0	27190.0
926.0	27146.0
925.0	27302.0
924.0	27410.0
923.0	27550.0
922.0	27383.0
921.0	27575.0
920.0	27705.0
919.0	27455.0
918.0	27553.0
917.0	27682.0
916.0	27527.0
915.0	27570.0
914.0	27644.0
913.0	27627.0
912.0	27795.0
911.0	27512.0
910.0	27549.0
909.0	27848.0
908.0	27722.0
907.0	27972.0
906.0	27876.0
905.0	27711.0
904.0	27994.0
903.0	27956.0
902.0	27625.0
901.0	27851.0
900.0	27870.0
899.0	27962.0
898.0	28034.0
897.0	28156.0
896.0	27912.0
895.0	27723.0
894.0	28103.0
893.0	28059.0
892.0	28083.0
891.0	28364.0
890.0	28002.0
889.0	28052.0
888.0	28042.0
887.0	28159.0
886.0	28426.0
885.0	28739.0
884.0	28518.0
883.0	28437.0
882.0	28416.0
881.0	28293.0
880.0	28198.0
879.0	28665.0
878.0	28338.0
877.0	28301.0
876.0	28577.0
875.0	28573.0
874.0	28713.0
873.0	28524.0
872.0	28805.0
871.0	28551.0
870.0	28706.0
869.0	28525.0
868.0	28629.0
867.0	28654.0
866.0	28798.0
865.0	28892.0
864.0	28749.0
863.0	28868.0
862.0	28880.0
861.0	28679.0
860.0	28951.0
859.0	29136.0
858.0	28948.0
857.0	28997.0
856.0	29045.0
855.0	29135.0
854.0	29158.0
853.0	29032.0
852.0	29035.0
851.0	29040.0
850.0	29312.0
849.0	28973.0
848.0	29167.0
847.0	28982.0
846.0	29317.0
845.0	29256.0
844.0	29325.0
843.0	28987.0
842.0	29004.0
841.0	29241.0
840.0	29206.0
839.0	29262.0
838.0	29227.0
837.0	29255.0
836.0	29512.0
835.0	29170.0
834.0	29191.0
833.0	29469.0
832.0	29594.0
831.0	29623.0
830.0	29583.0
829.0	29562.0
828.0	29525.0
827.0	29470.0
826.0	29401.0
825.0	29556.0
824.0	29838.0
823.0	29566.0
822.0	29701.0
821.0	29485.0
820.0	29680.0
819.0	29764.0
818.0	29650.0
817.0	29769.0
816.0	29890.0
815.0	29758.0
814.0	29740.0
813.0	30071.0
812.0	30144.0
811.0	29998.0
810.0	30215.0
809.0	30127.0
808.0	29988.0
807.0	30078.0
806.0	30199.0
805.0	30280.0
804.0	30085.0
803.0	30070.0
802.0	30077.0
801.0	30123.0
800.0	29964.0
799.0	30320.0
798.0	30501.0
797.0	30033.0
796.0	29977.0
795.0	30143.0
794.0	30358.0
793.0	30339.0
792.0	30162.0
791.0	30247.0
790.0	30377.0
789.0	30266.0
788.0	30552.0
787.0	30365.0
786.0	30524.0
785.0	30186.0
784.0	30352.0
783.0	30661.0
782.0	30532.0
781.0	30433.0
780.0	30359.0
779.0	30521.0
778.0	30455.0
777.0	30462.0
776.0	30606.0
775.0	30540.0
774.0	30695.0
773.0	30636.0
772.0	30857.0
771.0	30628.0
770.0	30562.0
769.0	30962.0
768.0	30854.0
767.0	30717.0
766.0	30711.0
765.0	30736.0
764.0	30817.0
763.0	30906.0
762.0	30860.0
761.0	30752.0
760.0	30933.0
759.0	31321.0
758.0	31226.0
757.0	30971.0
756.0	30943.0
755.0	31122.0
754.0	31014.0
753.0	31165.0
752.0	30944.0
751.0	31003.0
750.0	30856.0
749.0	31029.0
748.0	31098.0
747.0	31247.0
746.0	31394.0
745.0	31533.0
744.0	31096.0
743.0	31488.0
742.0	31215.0
741.0	31245.0
740.0	31614.0
739.0	31565.0
738.0	31260.0
737.0	31384.0
736.0	31527.0
735.0	31428.0
734.0	31517.0
733.0	31492.0
732.0	31559.0
731.0	31321.0
730.0	31466.0
729.0	31695.0
728.0	31741.0
727.0	31946.0
726.0	31373.0
725.0	31533.0
724.0	31499.0
723.0	31831.0
722.0	31657.0
721.0	31811.0
720.0	31653.0
719.0	31651.0
718.0	31642.0
717.0	31897.0
716.0	31948.0
715.0	31844.0
714.0	31921.0
713.0	31571.0
712.0	31561.0
711.0	31772.0
710.0	31901.0
709.0	31798.0
708.0	31860.0
707.0	31784.0
706.0	32001.0
705.0	31957.0
704.0	32094.0
703.0	31985.0
702.0	32109.0
701.0	32131.0
700.0	32159.0
699.0	31946.0
698.0	32286.0
697.0	32264.0
696.0	32070.0
695.0	31897.0
694.0	32079.0
693.0	32322.0
692.0	32061.0
691.0	32328.0
690.0	32298.0
689.0	32260.0
688.0	32361.0
687.0	32462.0
686.0	32399.0
685.0	32345.0
684.0	32409.0
