BE/eV	PE: 20.0 eV
695.0	5789.0
694.9	5729.0
694.8	5766.0
694.7	5786.0
694.6	5866.0
694.5	5721.0
694.4	5701.0
694.3	5691.0
694.2	5810.0
694.1	5691.0
694.0	5718.0
693.9	5693.0
693.8	5647.0
693.7	5677.0
693.6	5750.0
693.5	5654.0
693.4	5571.0
693.3	5792.0
693.2	5804.0
693.1	5830.0
693.0	5885.0
692.9	5715.0
692.8	5741.0
692.7	5740.0
692.6	5735.0
692.5	5829.0
692.4	5779.0
692.3	5918.0
692.2	5861.0
692.1	5751.0
692.0	5727.0
691.9	5742.0
691.8	5731.0
691.7	5792.0
691.6	5745.0
691.5	5627.0
691.4	5848.0
691.3	5833.0
691.2	5690.0
691.1	5680.0
691.0	5675.0
690.9	5787.0
690.8	5841.0
690.7	5893.0
690.6	5931.0
690.5	5713.0
690.4	5768.0
690.3	5893.0
690.2	5780.0
690.1	5797.0
690.0	5743.0
689.9	5694.0
689.8	5854.0
689.7	5847.0
689.6	5793.0
689.5	5773.0
689.4	5786.0
689.3	5857.0
689.2	5806.0
689.1	5766.0
689.0	5890.0
688.9	5838.0
688.8	5798.0
688.7	5818.0
688.6	5829.0
688.5	5813.0
688.4	5799.0
688.3	5824.0
688.2	5747.0
688.1	5804.0
688.0	5829.0
687.9	5848.0
687.8	5791.0
687.7	5730.0
687.6	5725.0
687.5	5823.0
687.4	5847.0
687.3	5831.0
687.2	5686.0
687.1	5698.0
687.0	5841.0
686.9	5792.0
686.8	5779.0
686.7	5827.0
686.6	5855.0
686.5	5842.0
686.4	5833.0
686.3	5787.0
686.2	5780.0
686.1	5782.0
686.0	5810.0
685.9	5761.0
685.8	5746.0
685.7	5753.0
685.6	5786.0
685.5	5891.0
685.4	5738.0
685.3	5760.0
685.2	5734.0
685.1	5694.0
685.0	5720.0
684.9	5847.0
684.8	5803.0
684.7	5710.0
684.6	5778.0
684.5	5838.0
684.4	5740.0
684.3	5734.0
684.2	5775.0
684.1	5810.0
684.0	5762.0
683.9	5775.0
683.8	5793.0
683.7	5793.0
683.6	5768.0
683.5	5880.0
683.4	5817.0
683.3	5764.0
683.2	5773.0
683.1	5740.0
683.0	5796.0
682.9	5702.0
682.8	5731.0
682.7	5753.0
682.6	5783.0
682.5	5722.0
682.4	5810.0
682.3	5802.0
682.2	5849.0
682.1	5729.0
682.0	5791.0
681.9	5862.0
681.8	5807.0
681.7	5742.0
681.6	5815.0
681.5	5793.0
681.4	5816.0
681.3	5768.0
681.2	5648.0
681.1	5788.0
681.0	5786.0
680.9	5708.0
680.8	5691.0
680.7	5819.0
680.6	5743.0
680.5	5725.0
680.4	5747.0
680.3	5737.0
680.2	5705.0
680.1	5673.0
680.0	5817.0
679.9	5747.0
679.8	5789.0
679.7	5750.0
679.6	5816.0
679.5	5896.0
679.4	5769.0
679.3	5765.0
679.2	5769.0
679.1	5840.0
679.0	5874.0
678.9	5793.0
678.8	5753.0
678.7	5710.0
678.6	5669.0
678.5	5793.0
678.4	5712.0
678.3	5769.0
678.2	5670.0
678.1	5735.0
678.0	5848.0
677.9	5737.0
677.8	5780.0
677.7	5862.0
677.6	5737.0
677.5	5795.0
677.4	5759.0
677.3	5795.0
677.2	5797.0
677.1	5774.0
677.0	5719.0
676.9	5699.0
676.8	5801.0
676.7	5896.0
676.6	5755.0
676.5	5803.0
676.4	5857.0
676.3	5845.0
676.2	5887.0
676.1	5887.0
676.0	5825.0
675.9	5781.0
675.8	5730.0
675.7	5800.0
675.6	5854.0
675.5	5742.0
675.4	5784.0
675.3	5743.0
675.2	5714.0
675.1	5828.0
675.0	5895.0
